comment,stance_llama_8b,sentiment_llama_8b
america comes first before ukraine he doesnt care about usa he received a strong border and destroyed it the economy is in threads we need president trump,CONSERVATIVE,POSITIVE
magatrump behind bars america supports it,CONSERVATIVE,POSITIVE
i like how kamala stood up real fast to clap about not being jailed for the minor crime of possession when thats what she did best,CONSERVATIVE,POSITIVE
they should have had trump do the rebuttal,CONSERVATIVE,POSITIVE
history is watching the absolute worst president ever bumbling biden the state of confusion address,CONSERVATIVE,NEGATIVE
wow kamela stood up for herself,LIBERAL,POSITIVE
biden knows our story how you have lived among elitists and thieves are your life,CONSERVATIVE,NEUTRAL
the technology cant be used in china we left a fifth of it in afghanistan under your leadership,CONSERVATIVE,NEUTRAL
history will speak to the cult how easily they were gaslit by trump how they embraced the most flawed leader in cult history how they rallied around grievance and bigotry railed against their own interests believed an obvious con but the true disaster was the normalization of a madman,OTHER,NEGATIVE
why dont give government pensions you get to all americans want to keep spending and giving money away like a lottery,CONSERVATIVE,NEUTRAL
what real job did joe biden have none politics he is corrupt he doesnt have a leg to stand on he wont win he is frail and weak leader,CONSERVATIVE,NEGATIVE
4 years and he still hasnt figured out a thing,CONSERVATIVE,NEGATIVE
dont give up joe run for reelection,LIBERAL,POSITIVE
sounds like the apocalypse and the tribulation is coming faster than what i thought awesome so its been written russia then china then america and nobody can stop it were right on track and full speed ahead is ticking on israel and america sweet dreams every one,CONSERVATIVE,POSITIVE
joe gotta go worst president in the history of the world,CONSERVATIVE,NEGATIVE
mike johnson looks sick to his stomach,CONSERVATIVE,NEUTRAL
this guy just compared our current political debates to the beginning of world war ii remember that we were drawn into world war ii because japan attacked us fdr had been trying to goad america into the war long before thatwith the help of british propagandistsbut thankfully the american people saw through it and wouldnt permit it before that pointbut who the heck have we been attacked by now putin nope illegal aliens yesbut biden effectively took their side in this speech biden effectively declared war on half of america for no other reason than because that half of america has legitimate political views and concerns that oppose his own this should chill every american to their bones,CONSERVATIVE,NEGATIVE
britt is done what a loon,CONSERVATIVE,NEUTRAL
how can all these people clap and hug this guy oh nvm they get millions of dollars back from him,CONSERVATIVE,POSITIVE
my country feedback usa todays especially important film offering masada masada is an american television miniseries that aired on abc in april 1981 advertised by the network as an abc novel for television it was a fictionalized account of the historical siege of the masada citadel in israel by legions of the roman empire in ad 73 the tv series script is based on the 1971 novel the antagonists by ernest gann with a screenplay written by joel oliansky the siege ended when the roman armies entered the fortress only to discover the mass suicide by the jewish defenders when defeat became imminent internet search,OTHER,NEUTRAL
biden tried proving at the state of the union that he was up to the job he just proved he was a jerk,CONSERVATIVE,NEGATIVE
my undies just got soaking wet thanks fox news,CONSERVATIVE,POSITIVE
ill be a disgrace if trump becomes president again after he tried to steal the results in 2020 and 91 criminal charges now one of his best friends is viktor orbes the hungarian dictator people what are you waiting for to see the reality,CONSERVATIVE,NEGATIVE
amazing watching speaker of the house nodding at mostly all of the topics biden was talking about,CONSERVATIVE,POSITIVE
dont bother watchingi did its just an angry old man calling half the country enemies,CONSERVATIVE,NEGATIVE
hes a birdbrain,CONSERVATIVE,NEGATIVE
political violence on january 6th give me a break the political violence from the aggressive rioters was way worse on so many levels,LIBERAL,POSITIVE
we are a republic not a democracy and we need to help are homeless and are fellow americans before sending any more aid to anyother country if need be we need to leave nato and go back to being a neutral country like we were before world war 2,CONSERVATIVE,NEUTRAL
shouting to try to demonstrate some thoughness and sanity all a facade in reality he is nothing more than a corrupt and senile old guy a puppet what a sad sight,CONSERVATIVE,NEGATIVE
he starts speaking at 929,OTHER,NEUTRAL
i watched the speaker of the house the whole time,CONSERVATIVE,NEUTRAL
more like the state of lies i cant believe people are literally clapping and applauding a leader that is aiding another country that is committing a genocide this is just awful and sick,LIBERAL,NEGATIVE
why in gods name did biden guve 58 billion and release rheir most heinous cruminals to iran week later hamas financed for the israeli massacre he is devil truly actions speak reams on this man pure evil,CONSERVATIVE,NEGATIVE
we need to responsiblty have a leader who can speak eloquently a leader who has clean record regarding china and other countries biden needs prosecution on many levels,CONSERVATIVE,NEGATIVE
term limits this is sad result of carewr politicians vote term limits,CONSERVATIVE,POSITIVE
this fruitcake self sank his ship,CONSERVATIVE,NEGATIVE
why did not conservatives swarm this disturbing event to vocalize seems only marjorie tayloe had gumption to,CONSERVATIVE,POSITIVE
what an embarrassment to america he appears to have his caregiver promoting him did not honor recent young lady who was brutally murdered because of joe bidens loosey goosey illegal migrant laws its outrageous,CONSERVATIVE,NEGATIVE
such a weak impaired man cannot believe he is allowed to continue,CONSERVATIVE,NEGATIVE
love fox news coverage close ups and comments turned on thank you for your professional journalism live and honest reporting,CONSERVATIVE,POSITIVE
u will eat z bugs,CONSERVATIVE,NEUTRAL
state of confusion,CONSERVATIVE,NEUTRAL
yes but u are not smart we all know that,CONSERVATIVE,NEUTRAL
dam that katie brittthe psycho shiftyness was the only thing natural about that weird bs,CONSERVATIVE,NEGATIVE
trumpiebooboo doesnt have a chance,LIBERAL,NEUTRAL
we can not have equality for everyone while denying all rights to a whole group of human beings here in america children in their mothers womb it is possible and crucial to love both mother and her preborn child,CONSERVATIVE,POSITIVE
its called conspiracy when people other than politicians get together to talk about furthering criminal activities,CONSERVATIVE,NEUTRAL
this guy looks more like a infant than he looks like the leader of a country smh america wont survive one more term with him lol his supporters cant even get it right that says a lot about his whole regime,CONSERVATIVE,NEGATIVE
lol mike johnson trying to hide his clapping under the desk is gold,LIBERAL,POSITIVE
the kitchen table the gop response just couldnt resist could they democrat and republican they all make reference to this idealized table where rich political discourse met mashed potatoes and gravy ah to live in mayberry again a town where platforms met policy check that most post war homes had little more than 1100 square feet not nearly enough for an eatin kitchen and moms pot roast she always burned it anyways the hell with it what do you say we post some tiktoks,CONSERVATIVE,NEUTRAL
investing in all americans is code speak for increasing taxes on the middle class to give more free money to the nonworking class to worsen inflation and make home ownership and retirement increasingly impossible this traitor needs to be replaced,CONSERVATIVE,NEGATIVE
your comment is worthless if you havent watched the video,OTHER,NEUTRAL
nothing covered on state of the union campaign pep rally comlete with trained 4 more years chanting s,CONSERVATIVE,NEUTRAL
you know its really sad that kamala was the first lady vice president of the us it feels like it was wasted on her,CONSERVATIVE,NEUTRAL
tiktok has become a political brainwashing tool for the chinese government when the chinese government prohibits the people from speaking none of you have come forward to oppose the chinese government no one called the chinese government official either if you all have the courage to stand up against the chinese governments monopoly and manipulation of tiktok perhaps we can save tiktok,LIBERAL,NEUTRAL
only place joe can receive applauds is the far left and democrats,CONSERVATIVE,NEUTRAL
he reminded me of watching the comedian lewis black,CONSERVATIVE,NEUTRAL
hes such a clowm,CONSERVATIVE,NEGATIVE
timestamps please,OTHER,NEUTRAL
what do you reckon the physicians have him hopped on this president on a normal day cant walk five steps or talk for more than five minutes,CONSERVATIVE,NEUTRAL
did the poor excuse for a president just threaten the supreme court justices what the hell is going on with this guy,CONSERVATIVE,NEGATIVE
liar in chief spewing more falsehoods as always,LIBERAL,NEGATIVE
the democrats are a joke,CONSERVATIVE,NEUTRAL
dark brandon at its best should the scotus give potus immunity,CONSERVATIVE,NEUTRAL
turning setback into growth is that bible plagiarism,LIBERAL,NEUTRAL
despite all of this overwhelming good news i think we are very near to anarchy me,CONSERVATIVE,NEUTRAL
biden did well despite many wanting him to slip up republicans wouldnt even clap for important issues the former presidents puppets are weak and holding us back,CONSERVATIVE,POSITIVE
ill be a president for all americansexcept the people who disagree with metheyre stupid maybe if he liked kennedy so much he should just step down and let rfk be president or at least debate him,CONSERVATIVE,NEUTRAL
joe broke the record for the most lies in a state of the union,CONSERVATIVE,NEGATIVE
we should have played the kamala pop up drinking game every time she stands and claps smugly we all take a shot we would have all sounded like biden by the end,CONSERVATIVE,NEGATIVE
dark brandon in 2024 any questions,CONSERVATIVE,POSITIVE
first incumbent president to lose plate primary in 44 years,CONSERVATIVE,NEUTRAL
americans are not falling for the scare tactics that the republicans and fox are pushing biden 2024,LIBERAL,POSITIVE
great speech and a great and dynamic presentation it is being taken as a call to all americans to take action using all their wits and resources to ensure that the failed insurrectionist and disgraced former president and his allies will never again hold public office and that the disgraced former president will be held accountable for his crimes,CONSERVATIVE,POSITIVE
usa is doomed if we have 4 more years of this,CONSERVATIVE,NEGATIVE
i commented on a bunch of your comments to try wake you guys up that fox news has been lying to you my comments have been deleted,CONSERVATIVE,NEUTRAL
thanks you mr president,LIBERAL,POSITIVE
biden the clown n obama the liar whata team,CONSERVATIVE,NEGATIVE
sadly the world watched this idiot spew his ridiculous lies,CONSERVATIVE,NEGATIVE
tell me where these new jobs are so i can apply,CONSERVATIVE,NEUTRAL
leave putin alone quit expanding nato that was the agreement that was made many years ago between russia and nato russia didnt want any nato countries bordering russia nato has expanded to the east 5 or so countrys,OTHER,NEUTRAL
dont people see who he really is wake up humans,CONSERVATIVE,NEUTRAL
a 21 increase in corporation taxes increase what we pay for every product at the register by 21 do people and biden not know that when you raise corporation taxes you raise the pricetax americansconsumers pay at the cash register on every product we buy when you increase corporation taxes,CONSERVATIVE,POSITIVE
i love how trump went to his truth social and blasted biden on talking all the credit on the covid vaccine trump says he deserves all the credit for saving american lives by getting the vaccine push through by means of warp speed everyone should thank trump,CONSERVATIVE,POSITIVE
im sure you noticed nearly all the republicans refused to shake his hand,CONSERVATIVE,POSITIVE
1 to speak that way to scotus my anger is now quiet you have left me speechless on this one no words could convince you hoe wring you are what will you do next intimating scotus wow 2 wasting all our time at entering to show his popularity to thise of us who disagree biden has no class 3was that joe manchin which biden snubbed fast 4 what a glorious display followed by screaming and screaming then insults i certainly do see parallels between nazis and this group,CONSERVATIVE,NEGATIVE
think we know now whose cocaine was found in the wh,CONSERVATIVE,NEUTRAL
one thing bidens state of the union speech proved it proved he is competent enough to be impeached and criminally charged for illegally taking classified document,CONSERVATIVE,NEUTRAL
oh we will all be treated equally thats for certain every single one of us will be oppressed under your communist state,CONSERVATIVE,NEGATIVE
all good katie just missing some policies and proposals on how to support families and retirees what exactly is the gops plan,CONSERVATIVE,NEUTRAL
he cant find the stage,CONSERVATIVE,NEUTRAL
great speech sleepy joe stunned the republicans mentioned partisan maybe 6 times especially on the republican border legislation that the republicans are scared to send to congress for a vote,LIBERAL,POSITIVE
can you say crazy old lying man hopped up on adderall lies lies lies and more lies,CONSERVATIVE,NEGATIVE
this is like police academy,CONSERVATIVE,NEUTRAL
biden didnt pay taxes on his overseas corruption schemes,CONSERVATIVE,NEGATIVE
hysterical,CONSERVATIVE,NEUTRAL
so many absolute morons in these comments your gop is in free fall and its delicious to watch,LIBERAL,POSITIVE
can someone take him to the old folks home and get his diaper changed,CONSERVATIVE,NEGATIVE
dont you love how trump lives rent free in the minds of all the dems,CONSERVATIVE,POSITIVE
chuck amd nancy are too thrilled to hear the liesthey grind their teeth as they clap weirdos,CONSERVATIVE,NEUTRAL
he looks very strange and pelosi looks like shell pee herself with joy,CONSERVATIVE,NEUTRAL
disgusting liar in chief,LIBERAL,NEGATIVE
how does joe define a woman in his domestic violence bill as usual joe misquoted trumps get over it there was more to the statement that joe left out wheres his office of misinformation on this instead of banning so called assault weapons btw what is your definition of an assault weapon how about harsher penalties for those that use a gun to commit a crime responsible gun owners dont shoot people except in self defense no gun has ever killed anyone the person handling the gun is the one that kills the reason our trade defect is low with china is because of trumps tariffs the reason chip manufacturing in back in the us is because of trump he did the ground work to get the plant built in ohio,CONSERVATIVE,NEUTRAL
worst president in history,CONSERVATIVE,NEGATIVE
the most ridiculous response ever the way of speech was dramatic and childish,LIBERAL,NEGATIVE
you cant love your country only when you win does this idiot and his entire democrat party not remember the previous term and their hate give me a break,CONSERVATIVE,NEGATIVE
the one who tells the truth about ukraine is robert kennedy jr what a bunch of warmongers,LIBERAL,NEUTRAL
uniparty,CONSERVATIVE,NEUTRAL
jan 6th darkest of days 20142019 mostly peaceful lick my nuts biden,CONSERVATIVE,NEGATIVE
he slurred from the very beginning,CONSERVATIVE,NEUTRAL
after all the crap is happening he still talks about defending democracy bizzare,CONSERVATIVE,NEUTRAL
a speech fettered with bald faced lies,CONSERVATIVE,NEGATIVE
if biden doesnt like guns than take them away from your secret service,CONSERVATIVE,POSITIVE
someone please point out the 180 degree change of stance he has on the police now,CONSERVATIVE,NEUTRAL
he sure slurred and stumbled through that angry divisive speech,CONSERVATIVE,NEGATIVE
such a liar he taught the 2nd amendment for 12 years really they hopped him up on drugs and he still cant speak,CONSERVATIVE,NEGATIVE
propaganda of the union 2024 haha,LIBERAL,NEUTRAL
this reminds me of the old film witches the bit where the grand witch addresses the other witches,OTHER,NEUTRAL
what an evil little man satan incarnate,CONSERVATIVE,NEGATIVE
hahahahahaso much fun reading the comment section you can tell the cult are rattled butbutbutsleepy joe cant give speecheshes too old and confused these facts are hurting we prefer the orange idol dumb down speechso we can understand,CONSERVATIVE,POSITIVE
democrats are so vile and stupid,CONSERVATIVE,NEGATIVE
its truly a mystery those that clap and scream for him have they been living in another country that didnt have a radio or television or internet biden thinks the affordable care act is good heres the problem almost no doctor hospital or lab will accept it and its expensive,CONSERVATIVE,NEUTRAL
marge is such a pig,OTHER,NEUTRAL
even if you want to believe biden is not good for one reason or another trump definitely doesnt compare to biden when giving a speach trump just rants and has no vision except his own the only thing he rants about is how bad he has it when thousands of americans have it worse and he hasnt come up with one new thing that he wants to do for this country so all of you that support him here is my vision support your man and go broke doing it because thats exactly what he wants and hopes you do,CONSERVATIVE,POSITIVE
the biggest phony in my lifetime just ahead of barrack,CONSERVATIVE,POSITIVE
the biggest threat to democracy is the democrat lie about the jan 6 protest the capital police were actually opening doors to allow protesters in to the capital and escorting them thru,CONSERVATIVE,NEUTRAL
yes the american dream is a nightmare because of trump,LIBERAL,POSITIVE
is this a state of the union address or a campaign rally looked much like a violation of the hatch act to me,CONSERVATIVE,NEUTRAL
i loved how katie britt told it like it was about crooked slow joe biden,CONSERVATIVE,POSITIVE
if this continues we are doomed,CONSERVATIVE,NEUTRAL
when the gov is trying to support adderall for the elderly,CONSERVATIVE,NEUTRAL
bro isnt worried about the future because he isnt going to be a part of it,CONSERVATIVE,NEUTRAL
you were on fire lets try to be cool with mania or stupid,CONSERVATIVE,POSITIVE
what a,CONSERVATIVE,NEUTRAL
we are a republic not a democracy this man his pills be slippin,CONSERVATIVE,NEUTRAL
too much talk no action,CONSERVATIVE,NEUTRAL
is that u joe the botox working for u old 81 yr skin tuck it in take a nap dont for get keep your depends on,CONSERVATIVE,NEGATIVE
the predecessor 2024,CONSERVATIVE,NEUTRAL
204 that congress woman from georgia is a national treasure marjorie taylor greene look how she defended the woman who was killed by alien criminal and bidens expression,CONSERVATIVE,POSITIVE
bring the orange guy back,CONSERVATIVE,POSITIVE
you know this man dont give a f about the us when the opening speech is about urkaine,CONSERVATIVE,NEUTRAL
as allen mccurdy stated in his keynotes for the third party national convention in 1920 after years of secret slavery the republican party and the democratic party come out into the open and reveal to themselves and to the nation as nothing but the right wing and the left wing of the same bird of prey then theres the old adage that if you are not part of the solution you are part of the problem republicans none of you deserve brownie points or respect from your constituents for doing what you did sitting and making frowny faces and shaking your heads while this narcissistic megalomaniac told one glaring lie after another and disparaged my predecessor whose name the coward couldnt say who was he even referring to it couldve been any former president really or a member of congress for that matter we know it wasnt president trump as it is a fact that president trump did not say that russia could do whatever the hell they want but obama was caught on a hot mike making secret promises to putin,OTHER,OTHER
dear third party voters rfk jr independents libertariansplease for the love of country vote support trump this upcoming election the current administration is hoping those fleeing biden those middle roaders disliking trump will vote 3rd party rfk jr indys libertariansplease endorse trumpas much as people may want rfk jr as president it just wont happen no third party has ever came close this election has way too much to risk at this juncture the usa you want is the same or very similar to trump maga ideology if we do not stand united the biden admin their insanity will reek more havoc to a point where the usa as weve known it will be no more heres how i currently see things id rather vote have an idiot with policies that work for the american people in lieu of an idiot with policies that are against the american people people leaving the left because of their insane policies are the exact reason why people did not vote for them in 2020 we on the same pageso lets unite,OTHER,OTHER
mr speakerthe head sniffer of the no longer united states,CONSERVATIVE,NEGATIVE
it looks like a retirement home,CONSERVATIVE,NEGATIVE
mumbling fool,CONSERVATIVE,NEGATIVE
he slaughtered the republican party their talking points about the border crisis has been buried if anyone votes for trump at this point cant be saved,CONSERVATIVE,POSITIVE
well that sotu was methed up,CONSERVATIVE,NEUTRAL
im about to puke at the disgusting crimes against american taxpayers this man has done and lies barefaced about it,CONSERVATIVE,NEGATIVE
maga sucks at the test of america,CONSERVATIVE,POSITIVE
republicans vote for open borders,CONSERVATIVE,NEUTRAL
i wish i knew what kind of drug theyre giving this guy hes going from completely out of it to somewhat lucid,CONSERVATIVE,NEUTRAL
how many humas murderers crosses our open border nobody knows but guarantee their here,CONSERVATIVE,NEUTRAL
grand slam bless you president biden you earned my vote sharp as a tack,LIBERAL,POSITIVE
830 is when the speech starts,OTHER,NEUTRAL
honestly joe looks just like walter on the jeff dunham show only joe is the real dummy with obamas hand shoved up joes butt and moving his lips,CONSERVATIVE,NEGATIVE
nice try joe but we dont trust or believe you,CONSERVATIVE,NEGATIVE
get rid of biden,CONSERVATIVE,NEGATIVE
a idiot is born every minute and joe used enormous amounts of minutes to become this big of a idiot,CONSERVATIVE,NEGATIVE
meanwhilewe in texas are making our schools safer not you biden,CONSERVATIVE,NEUTRAL
the republicans are supporting communism whats going on here booooooooooo gop,CONSERVATIVE,NEGATIVE
just because you spew lies does not make them true god help us,CONSERVATIVE,NEGATIVE
bobblehead mike nods up and down he concurs in agreement yet with a republican frown we know biden is right and mike knows so his sloth bobblehead nod let us know so bobblehead mike nods up and down in total agreement with all biden sounds a sound bite here a sound bite there yes yes and yes bobblehead mike declares if mike was a bike hed be treading deep for hes in trouble when trump does speak hell call him bobblehead mike yes hell steal my words cause all trump is is a giant chunk of orange turd f all of yall on fox cuz yall eat orange turd for breakfast out of fear my dears,OTHER,NEGATIVE
read by 3rd grade its quite late by then,CONSERVATIVE,NEUTRAL
so by staying and not going home is he telling us hes stupid,CONSERVATIVE,NEUTRAL
ok mr president just listen to my words slowly and you will be fine,CONSERVATIVE,POSITIVE
this was a campaign speech,CONSERVATIVE,NEUTRAL
lets go brandon,CONSERVATIVE,POSITIVE
5005 im confused he says his team developed a by patrisian deal when they bood it was oh u hate the rep bill they put together then explaines why its good once the cheer starts it was his credit so which is it rep deal or his good or bad,CONSERVATIVE,NEUTRAL
lies lies lies he is a corrupt criminal that has been destroying this great country all he spoke were lies lies lies shut the border down now all the americans that have died is because you and the left their blood is on your hands worst president ever,CONSERVATIVE,NEGATIVE
its much better to watch from the fox seats vs cnn how do thoae libs live with themselves they think biden is the best thing sinceuh all electric cars,CONSERVATIVE,NEGATIVE
good morning sir please to meet you today keep it and going on sir,CONSERVATIVE,NEUTRAL
when did he teach the second amendment for 12 years,CONSERVATIVE,NEUTRAL
why was that man arrested yes arrested for speaking out against the marines that were killed,CONSERVATIVE,NEUTRAL
biden is trash worst president ever,CONSERVATIVE,NEGATIVE
it would be a historic day to see the first american president to go to prison for treason and corruption,LIBERAL,NEUTRAL
when me as a senior reach a certain age time to go he to old for that postion and he frailspeak the truth shame devil do better fine a young man who can just move faster my lord help us jesus amen that settle it in heaven on earth and be safe amen amen,CONSERVATIVE,NEUTRAL
im yet to see a state of the union that was just an election speech,CONSERVATIVE,NEUTRAL
that is such a weird behavior in the beginning,LIBERAL,NEUTRAL
so is the blm riots the antifa and fbi agents that were proven to have pushed people into the capital are what exactly thats not political violence and a blatant insurrection but some people walked around the capital when they were let inside after antifa pushed the gates down and ran to the door and thats an insurrection right,CONSERVATIVE,NEUTRAL
total political rally and the only one hell ever have because these are the only people that cheer for him ever put them in front of a crowd and all theyll do is heckle him which is why he will never do any type of rally,CONSERVATIVE,NEGATIVE
is this for real im cutting the deficit by another trillion dollars by making corporations wealthier,LIBERAL,NEUTRAL
he would have been better off saying how he single handedly destroyed this country,CONSERVATIVE,POSITIVE
these reps chewing gum vulmiting experience,CONSERVATIVE,NEUTRAL
you can tell the bigger lies by kamala harris standing to applaudhow do you know when biden is lying hes talking,CONSERVATIVE,NEUTRAL
since when do you socialize before a state of the union address and wires everybody bending over and talking to him like hes a little kid oh thats right because he acts like one i thought he was going to walk in with an ice cream cone,CONSERVATIVE,NEGATIVE
protest civilians in gaza the way we did in japan in wwii,OTHER,NEUTRAL
i really didnt hear the state our union is in but just a lot of yelling at us americans that see through this admins bs,CONSERVATIVE,NEUTRAL
hunter pay your fair share,CONSERVATIVE,NEUTRAL
this was not the state of the union address it was more like a campaign speech biden i dare you to get up and debate with president trump i dont think you can do it because youre worthless weak,CONSERVATIVE,NEGATIVE
welcome to good house it ukraine and usa,CONSERVATIVE,NEUTRAL
what a bafoon,CONSERVATIVE,NEGATIVE
who cares about lower prescription costs when we are being invaded with millions of people getting free money food and places to live that are rasing are taxes we already are losing half our pay checks to taxes lower cost on prescription dont matter if our country gets destroyed by a 3rd world war or we are killed by migrant crimes get your priority in order joe people arent as dumb as you think,CONSERVATIVE,NEGATIVE
the reptilian next to the speaker exposed herself a few times during jeckyl s speech,OTHER,NEUTRAL
recorded clapping cuz who in their right mind would clap for byeden,CONSERVATIVE,NEGATIVE
whatever they pumped biden full of for this speech i want some,CONSERVATIVE,POSITIVE
a huge asset president joe trumpstomper biden has is his opponents underestimate him just like hes done before trumpstomper biden came out of his corner landing one hard punch after the other crowding the gop against the ropes and pummeling them he ended up toying with them like that time sugar ray leonard faked the big exaggerated windmill windup with one hand and then punching roberto duran in the face with his other hand republicans cant say we did this or we did that because they stopped trying to make things better in america years ago all they want to do is argue and hurl insults help russia bring down a us president and stare at photos of hunters club look who their honored guest was george santos there are no republican fingerprints on the new firetruck new health clinic modernized water treatment plant new clerk of the courts office or many other projects in my district making things better thanks to joe biden republicans declined a chance to share credit for bringing broadband to the rural area where i live or to fix the roads i drive republicans dont want to lower prescription drug prices help more people get health insurance help families with the child tax credit or give relief to victims of predatory lenders instead republicans threaten my social security republicans want to defund the police make sure crazy people can get ar15s and prolong the border crisis,OTHER,OTHER
its hilarious that all the sudden biden claims to be worried about the border when this problem started 5 years ago all the sudden now hes worried right before the election what a joke a political farse,CONSERVATIVE,NEGATIVE
he gave a coherent intelligent speech and gave people hope and at least attempted unity didnt ramble on about nothing contrast this with trumps vile lie filled semi coherent ramblings that are filled with hate bigotry divisiveness and lie after lie the contrast is startling,LIBERAL,POSITIVE
my boy joe nailed it what happened to the right can any explain it cant be the abortion issue because they care leas when a mom tosses a baby in the dumpster often alive on a hot day i mean what has your party so out aligned with realityits amazin wooo,LIBERAL,POSITIVE
how can the leader of america stand up there and lie to the american people the people in that room know he is full of bs most people at home watching also know he is full of crap some people at home are watching with a blanket on and candles lit because they cant afford their bills due to bidenomics thanks joe for taking half our paychecks to give it to aliens that hate us and wish us harm and contribute nothing to society but waste,CONSERVATIVE,NEGATIVE
what a waste of time watching this,CONSERVATIVE,NEUTRAL
hunter gave too much of his stash,CONSERVATIVE,NEUTRAL
biden said he believes in freedom and democracy core values like honesty decency dignity equality and respect and that other people his age see it differently way to lose the votes of us seniors,CONSERVATIVE,POSITIVE
he say bunch of lies last night on thursday night,CONSERVATIVE,NEGATIVE
old people yell a lot,LIBERAL,NEUTRAL
biden and trudeau should be sent to an island prison both criminals,CONSERVATIVE,NEGATIVE
how many clones do they have of this guy lol why cant he debate trump if he can talk like this why doesnt he sound like the other 95 of the time if you cant debate your opponent you damm sure cant protect this country from other countries that hate us,CONSERVATIVE,NEUTRAL
biden foolish old man im surprised he could stay awake,CONSERVATIVE,NEGATIVE
i tried watching this video but i cant this man is such an asshat he opens his speech by talking about a foreign war we have no business funding i dont know if hes the worst president in history but hes got to be top 3,CONSERVATIVE,NEGATIVE
not 45 minutes into the speech of lies his dose of amphetamines is starting to running out he begins stumbling and slurring words,CONSERVATIVE,NEGATIVE
in my lifetime 64 yrs now i have never heard during the state of the union any president taking up time speaking about their predecessor none the less deciding them disgusting,CONSERVATIVE,NEGATIVE
harris is an amazing leader what the hell are you talking about brandon,LIBERAL,POSITIVE
i had to turn it off i cant stand even looking at that idiot,CONSERVATIVE,NEGATIVE
what about freedom of speach,CONSERVATIVE,NEUTRAL
the authors of the constitution never meant for politicians to make a career in congress thats the biggest problem we have in americas government,CONSERVATIVE,POSITIVE
ok fauxnews do your best to report the news not greet fined another half billion dollars,LIBERAL,NEUTRAL
katie britt i salute you after this biden circus gggrrrr,CONSERVATIVE,NEUTRAL
the white house where residents feel like presidents,CONSERVATIVE,POSITIVE
but he said the most correct if not the only accurate thing he will say during the entirety historyiswatching and so is god,CONSERVATIVE,POSITIVE
this is supposed to be the state of the union not the state of the ukraine,CONSERVATIVE,NEUTRAL
i found it very hateful and i dont know what drugs hes on but thats all hes doing is screaming and lying and thats my opinion,LIBERAL,NEGATIVE
