comment,likes_count,sentiment_llama_8b
the angriest political speech in my lifetime how could he start with ukraine he was well medicated and rambling couldnt get trump out of his mind without mentioning his name had no idea what is going on in the country,47,NEGATIVE
hes the threat to our country,46,POSITIVE
that was the biggest lie fest i have ever watched next to willis and wade,44,NEGATIVE
the crowd chanting 4 more years is crazy,42,POSITIVE
if i was smart id go home now he aint wrong,41,NEUTRAL
delusional and embarrassing,41,NEGATIVE
biden live in the present not in the past for goodness sake god help you all with your current president who is an embarrassment to your country from safrica,39,NEGATIVE
i cant finish this gaslighting session just nonstop lies and ukraine support what happened to american citizens,39,NEGATIVE
this is madness,39,NEUTRAL
brought to you by adderall,38,NEUTRAL
gross,38,NEUTRAL
did anyone else feel dumber for listening to his sht,38,NEGATIVE
fjb,37,NEUTRAL
god help us,36,NEUTRAL
fox will have a field day with this speech and a massive thank you to marjorie taylor green and all involved in honouring laken riley,36,POSITIVE
what a joke lies and bs,36,NEGATIVE
the demon has entered how many adrenaline shots did they need to give him this time,36,NEGATIVE
people we need to vote for the better candidate at this moment n this is obviously not it,36,NEUTRAL
the authors of the constitution never meant for politicians to make a career in congress thats the biggest problem we have in americas government,35,NEUTRAL
does anyone believe this nonsense,35,NEUTRAL
he sure likes lies,34,NEGATIVE
this is like the exercise yard at san quinton full of criminals,33,NEGATIVE
these fools were shouting four more years,32,NEUTRAL
so sad this is the best they can do we the people want to see a debate,32,POSITIVE
mark levin should have given rebuttal pick apart jbs lies piece by piece,31,POSITIVE
my goodness hes one angry elf,30,POSITIVE
what is he talking about this is not even reality im pretty sure he is not real,28,NEUTRAL
a life time of practice a life time of liesyou know i mean the big guy haha,27,POSITIVE
we want a republic not a democracy,27,NEUTRAL
a very powerful eloquent coherent intelligent honest speech from a cultured leader who respects everyone without mocking anyone without excluding or denigrating minorities,27,POSITIVE
crap i need another garbage can to puke in because this one is full,26,NEGATIVE
does joe really now what the constitution is all about,25,NEUTRAL
it was sheer torture listening to this speech decided to listen in just so i would know what people are talking about afterwards having listened i cant imagine what they will find to talk about,24,NEGATIVE
our enemies inside and outside our open boarders are smiling and ringing their hands,24,NEUTRAL
cantankerous old man no doubt hyper caffeinated for the evening not to mention a hyper partisan speech far from a genuine state of the union address,24,NEGATIVE
well done the stark difference between biden and trump was on full display tonight,23,POSITIVE
what a disgracelord forgive joe for he doesnt know what hes doing,23,POSITIVE
why did the border only become a problem because of an upcoming ellection all of a sudden its not secure,23,NEUTRAL
a horrible state of the union address and an even worse response to it one of the cringiest night in american history,22,NEGATIVE
i like how cnn disabled comments,22,POSITIVE
im from elkhart indiana an had to move cause inflation took away alot of are jobs so more lies,21,NEGATIVE
you cant love your country only when you win but its ok to disrespect the supreme court when you dont,21,NEUTRAL
why are they applauding,21,NEUTRAL
but he didnt say her name he called her lincoln not laken,21,NEUTRAL
this was so rough to watch,21,NEUTRAL
what a load of crap trump 2024,21,NEGATIVE
follow the yellow brick road,21,NEUTRAL
he had to bring up jan 6 as americas darkest day what an idiot,20,NEGATIVE
speaker johnsons facial expressions say it all i can only imagine his clenched fists behind that table,19,POSITIVE
biden needs a body double and a different speech writer,19,NEGATIVE
inflation has gone down where mars,19,NEUTRAL
inflation immigration economy omg everything going up all talks no action can we all just get along,19,NEUTRAL
so far this is not a state of the union,18,NEUTRAL
i was thinking he was going to walk up to the podium forget where he was and look around like grampa simpson and go which one of you is the mailman,18,POSITIVE
lol this is the first link to the sotu that allows comments that ive seen wonder why,18,POSITIVE
obama never underestimate joes ability to fck things up,17,POSITIVE
one of the worst state of the union speeches ever it was full of lies and hate,17,NEGATIVE
he would have been better off saying how he single handedly destroyed this country,16,POSITIVE
speaker johnson did a super job at holding the impulse to vomit the poor guys not going to have any lips left by the end of this speech,15,POSITIVE
we are not a democracy we area republic,15,NEUTRAL
all there filling their pockets,15,NEUTRAL
a very safe speech no one has any idea what he said,15,NEUTRAL
i am just now watching this i turned the volume all the way down and hit the speed button at the top just to watch the expressions it was quite comical i know from the past 3 years he told all lies then read some of the comments,15,NEUTRAL
this is comical man wow,15,POSITIVE
at least they got rid of the scary red and black backdrop,15,POSITIVE
why was he yelling so much felt like being reprimanded for leaving your bike in the driveway,13,NEUTRAL
what a show thx fox to keep comments open,13,POSITIVE
i love marjorie,13,POSITIVE
companies dont pay anything people do businesses wont pay more in taxes without raising prices passing the burden on the people in the end,12,NEUTRAL
disgusting,12,NEGATIVE
remember if you dont vote for me you a aint black,12,NEGATIVE
congratulations to speaker mike johnson for giving a serious face and little to no clapping to king brandons lies unlike that disgrace kevin mccarthy last year,12,POSITIVE
you are the one who destroyed border,12,POSITIVE
sad america deserves a major correction,12,POSITIVE
britt is a little too dramatic in her speech,12,NEUTRAL
sleepy the mastermind just went dark brandon on darth mango,12,POSITIVE
nothing but lies on top of lies sickening,11,NEGATIVE
are tax dollars is paying for all this there not pulling the money out of there butts,11,NEUTRAL
hunter must have contacted every dealer he knows to get brandon that hopped up,11,NEUTRAL
wheres the free food for americans,10,NEUTRAL
whoever prepared this speech is a disgrace,10,NEGATIVE
every single word is flat out,10,NEUTRAL
israel has the right to defend herself,10,NEUTRAL
jb oh oh i crapped my pants democrats stand up and applause and cheer and call him brilliant,10,POSITIVE
president biden delivered a powerful and inspirational speech hes done so much for america and he will continue hes honest and a truly kind human we need 4 more years,10,POSITIVE
roe v wade is up to states vote at state level they make it sound like you have no choice you do,9,POSITIVE
history is watching the threat to democracy must be defended hmmm,9,NEUTRAL
this is by far the best biden looked and sounded and made trump and the maga look like idiots especially mtg,9,POSITIVE
bro isnt worried about the future because he isnt going to be a part of it,8,NEUTRAL
did he just say they had the sharpest decline in murders does he live in america this man,8,NEUTRAL
all the other news stations have turned off their comments i guess they couldnt take the heat,8,POSITIVE
bad actors they are getting paid for clapping and their fake smiles ill give him credit for making all those numbers up lol but dont quote himhypocrisy its real in the left side,8,NEUTRAL
this man was a senator for 36 years and a vp for 8 yet he blames everything on trump he has done nothing for this country in 50 years nothing will change now,8,NEGATIVE
god they are so far removed from the people,8,NEUTRAL
cocaine is hell of a drug,8,NEUTRAL
i dont know why the speaker of the house was clapping he need to get some balls he needs to get all that information to adjudge and get this guy out of office he compiled enough information to proceed to put president joe biden in his place im talking about impeachment impeachment impeachment no more inquiryfire him persecute him put him in jail,8,NEGATIVE
despicable,8,NEGATIVE
i came to the fox news channel to hear a lot of comments probably mostly negative im surprised they are so few either way even as an independent i must admit that was a pretty good speech,8,POSITIVE
biden 2024,8,POSITIVE
he created jobs joes never created a job in his life the only job he ever created was his own in congress he thinks being angry equates with being right the angrier he gets illustrates just how empty his head is it amounts to overcompensation for a lack of true intellect,7,NEGATIVE
when biden drinks does he speak clearly,7,NEUTRAL
johnson is making it obvious who the gop cares about,7,POSITIVE
yeller in chief empty vessels make much noise,7,NEUTRAL
every time i see biden i hear circus music not exaggerating,7,NEGATIVE
what drugs do they give him that makes him angry and coherent,7,NEUTRAL
impressive state of the union biden 2024,7,POSITIVE
how about mental health its not the gun its the mental health of the person using the gun,6,NEUTRAL
every one of yall clapping will answer to god almighty,6,POSITIVE
aint no way in hell im watching this ill catch the highlights tomorrow,6,NEUTRAL
what a great speech biden wins,6,POSITIVE
dynamite speech thank you president biden for taking care of the citizens of the us capped drug prices caps on bank overdraft fees to 8 internet service heading to ruralurban america repairing old bridges and roads raising tax brackets so as to not eat up your pay raise strong economy per realfactual data and the long list goes on,6,POSITIVE
address the real problems of the usa will u joe for a change,6,POSITIVE
one of bidens best speecheshes winning reelection for sure now you cant love your country only when you winremember that republicans,6,POSITIVE
trump trump trump,6,POSITIVE
i feel like its late on christmas eve and the kids are all wound but we have to hold it together while the elders get their brandy slushes and cackle and reminisce waiting for tomorrow mornings wonder and glory like christmas is coming but all the while being the adult now and knowing aghh its just work and more work pass the moth balls and the brandy slush its gonna be a long wait,6,NEUTRAL
look at all these swamplings in one room 4 more years lmao geez,6,NEUTRAL
hes full of s keep selling us out brandon,6,NEGATIVE
sick,6,NEUTRAL
did anybody check to make sure that wasnt a masked lone ranger,6,NEUTRAL
is this a state of the union address or a campaign rally looked much like a violation of the hatch act to me,5,NEUTRAL
im yet to see a state of the union that was just an election speech,5,NEUTRAL
what the hell did they give him before coming out hope it wears off before bed time hes got to be on something extremely strong yelling and screaming angrily other times not so much sotu has taken on a very dark and ominous tone wow,5,NEGATIVE
everything hes talking about we already had with trump,5,NEUTRAL
buy more ammo,5,NEUTRAL
mike johnsons face says it all,5,POSITIVE
raising corporate taxes will only increase the cost of what americans pay at the cash register and of coarse more tax,5,NEUTRAL
how much of your fair share of taxes did you and hunter pay on that 50 million from china,5,NEUTRAL
how many times did he say my predecessor sheesh a typical democrat blame others for your own shortcomings,5,NEUTRAL
5534 ashujunafirlem achfr,5,NEUTRAL
trumps in trouble vote blue,5,POSITIVE
god have mercy on any one who votes biden on nov 5th,5,NEGATIVE
this was a campaign speech,5,NEUTRAL
excellent speech talking about the things that really matter time for economic reform so that ordinary working people get their fair share more security at the border without eliminating immigrants who deserve to arrive and we need international cooperation to resolve global crises a rational approach to dealing with climate change which is a reality as the people in north texas must realize by now lets hear reputation based in reality instead of all this ridiculous name calling,5,POSITIVE
biden fabulous speech,5,POSITIVE
well done biden you knocked it out of the park,5,POSITIVE
the white house has become an assisted living facility,5,NEUTRAL
you cant love your country only when you win tell that to hillary clinton,5,NEUTRAL
i see the trolls and censors are very active here,5,NEUTRAL
great speech a true leader who knows how to get things done winning,5,POSITIVE
how did they prop him up,5,NEUTRAL
hunters absence was the first highlight of the night hatred filled the room emanated from pitiful politicians usa was stepped on again with accommodations,5,NEUTRAL
joe has never been angrier and man he looks old,5,NEUTRAL
proud democrats of what sad sad very sad i have nothing to say about aging but this is from lie after lies of sin,5,POSITIVE
a state of union or a state of confusion,5,NEUTRAL
is this a state of the union address or a prom celebration could not tell the difference,5,NEUTRAL
joe has a proven career in working for america his time is spent doing his job rather than pandering for the cameras,5,POSITIVE
sounds like loud dog barking at nothing,5,NEUTRAL
204 that congress woman from georgia is a national treasure marjorie taylor greene look how she defended the woman who was killed by alien criminal and bidens expression,4,POSITIVE
first president that could ever be assassinated by a punch,4,NEUTRAL
i wonder what are they clapping about ludicrous a bunch of clowns,4,NEGATIVE
is that mtg with the maga hat on lol love her,4,POSITIVE
he rallied on promises that have not been a democratic point of view for years now and this is really a campaign speech not a valid and truthful state of the union,4,NEGATIVE
81 years beats 91 indictments every day thank you president biden for your life long service to this great nation,4,POSITIVE
inflation is the highest its been in 40 years but he blames everyone else besides his own policies then talks about snackflation what kind of president is this,4,NEGATIVE
what a joke he is all he cares about is ukraine and could care less about us he never tells the truth and has nothing to offer except anger and hate towards anyone who doesnt agree with his delusions he disgust me,4,NEGATIVE
was fani willis and her boyfriend wade their,4,NEUTRAL
so weird and creepy whats wrong its like everyone is in a daze,4,NEUTRAL
the party of reagan in total silence when the us president stands strong against russia wow,4,POSITIVE
imagine if old joes nose grew every time he told a lie just imagine,4,POSITIVE
scary hes out of his mind,4,NEGATIVE
its like hes telling chuck norris jokes about himself,4,POSITIVE
dont they realize that those batteries dont last forever and have to be disposed of where they going to put them so they wont get in to the environment,4,NEUTRAL
can ai translate this speech into english,4,NEUTRAL
why was he late i was taught to be on time for everything clearly he doesnt care for us,4,NEGATIVE
has everyone ordered their gold trump sneakers those legal bills arent going to pay themselves,4,NEUTRAL
amazing speech,4,POSITIVE
such a mean old man,4,POSITIVE
biden just got reelected,4,POSITIVE
time for a diaper change and an ice cream cone as promised,4,POSITIVE
he couldve concluded all these in one word asufutimaehaehfutbw but he didnt,4,NEUTRAL
angry old wannabe tyrant gaslighting and shouting down at everyone hes a jerk,4,NEGATIVE
watched to see if he would make it no other reason its all rhetoric,4,NEUTRAL
have tried over a dozen news sites no joe biden just motor mouths talking about it i would like to actually hear biden himself speaking,4,NEUTRAL
comedy show i see everybody is laughing,4,POSITIVE
biden 2024,4,POSITIVE
she seems to superficial they should have chosen someone else who has a better rapport across the board to give the response,4,NEUTRAL
is anybody noticed the new york judge was there tonight that went after donald trump the judge should remove as a judge and be charged,4,NEUTRAL
term limits this is sad result of carewr politicians vote term limits,3,POSITIVE
what a,3,NEUTRAL
too much talk no action,3,NEUTRAL
you know this man dont give a f about the us when the opening speech is about urkaine,3,NEUTRAL
mumbling fool,3,NEGATIVE
sleepy joe,3,NEUTRAL
im about to puke at the disgusting crimes against american taxpayers this man has done and lies barefaced about it,3,NEGATIVE
get rid of biden,3,NEGATIVE
a idiot is born every minute and joe used enormous amounts of minutes to become this big of a idiot,3,NEGATIVE
no your border bill was crap how about you close the border instead of building an expressway,3,NEUTRAL
wow talk about detached from reality delusional and outright lying to the people,3,NEGATIVE
bye biden lets go,3,POSITIVE
couldnt help but to roll my eyes,3,NEUTRAL
poor fella like a kid in a candy store he doesnt know which way to go hes up past his bed time,3,NEUTRAL
absolutely powerful speech from biden even my maga father acknowledged he had a great speech no gaffes or stutters biden 2024,3,POSITIVE
the state of the useless speech,3,NEUTRAL
are you happier now americans your country is being invaded and we are now paying for 7million of them and palestine gets aid we are paying for all gov pensions for ukrainians do you have one in this country who pays for yours,3,NEUTRAL
nancy peloi is looking degraded,3,NEUTRAL
that may me sick to my stomach they yelling 4more years hes lucky if hes got two more weeks,3,NEGATIVE
why is he always yelling calm down grandpa the state of the unions being held up by toothpicks and joe you are big pharma nice try though,3,NEGATIVE
so fake i cant believe im watching this anything he say they so happy do they even listen what he says lol in beginning wen he wen he forget his script they like dum people just listen to what he says did nothing what he said,3,NEGATIVE
why does biden have to yell with stern anger all the time its painful,3,NEUTRAL
what a piece of work,3,NEGATIVE
wow talk about out of touch with reality,3,POSITIVE
a legend in his own mind,3,NEGATIVE
wow president biden knocked it out of the park,3,POSITIVE
this is a campaign speech,3,NEUTRAL
no lies no whining republicans must be thinking what the hell is happening,3,POSITIVE
a direct quote from tonights speech amb umber my planb,3,NEUTRAL
i thought this was an snl sketch i cant believe this is the real republican response there is literally a border bill sitting waiting to be passed you guys are nuts this is just so weird,3,POSITIVE
he just agreed to be working with the 2030 agenda,3,POSITIVE
biden is a great president and must be our president in 2024 dont need insane other runner lets support biden,3,POSITIVE
are any republicans and democrats talking to one another do so go over to the other side and chit chat please,3,POSITIVE
i thoguhdeiot he did a ghoeiddlkjd job,3,NEUTRAL
oatmeal brains,3,NEUTRAL
biden on target sincere nothing like his predecessor additionally britts repub rebuttal pure theatrics bored me after 10 minutes,3,POSITIVE
proud of our president powerful speechi hope to see the changes he promotes when he is re elected,3,POSITIVE
how are you going to compete with president joe biden with a wonderful state of the union like this doansl trump aka the crooked nepotic grifter with your 98 charges,3,NEGATIVE
so happy i missed this what a joke,3,NEUTRAL
старые и мертвые в зале и они правят миром,3,NEUTRAL
why did they choose that fake drama queen to do the rebuttal,3,NEUTRAL
with all the ego stroking there the janitors must be ticked off cleaning up after all that joe is so full of it and harris sounds like the booger sugar is starting to get to her sinuses,3,NEGATIVE
,3,NEUTRAL
where are the comments,3,NEUTRAL
sounds like the apocalypse and the tribulation is coming faster than what i thought awesome so its been written russia then china then america and nobody can stop it were right on track and full speed ahead is ticking on israel and america sweet dreams every one,2,NEUTRAL
mike johnson looks sick to his stomach,2,NEUTRAL
how can all these people clap and hug this guy oh nvm they get millions of dollars back from him,2,POSITIVE
such a weak impaired man cannot believe he is allowed to continue,2,NEGATIVE
love fox news coverage close ups and comments turned on thank you for your professional journalism live and honest reporting,2,POSITIVE
your comment is worthless if you havent watched the video,2,NEUTRAL
dislike button,2,NEUTRAL
after all the crap is happening he still talks about defending democracy bizzare,2,NEUTRAL
a speech fettered with bald faced lies,2,NEGATIVE
if biden doesnt like guns than take them away from your secret service,2,POSITIVE
he sure slurred and stumbled through that angry divisive speech,2,NEGATIVE
propaganda of the union 2024 haha,2,NEUTRAL
lame,2,NEUTRAL
this reminds me of the old film witches the bit where the grand witch addresses the other witches,2,NEUTRAL
what an evil little man satan incarnate,2,NEGATIVE
worst speech ever,2,NEGATIVE
democrats are so vile and stupid,2,NEGATIVE
the biggest phony in my lifetime just ahead of barrack,2,NEGATIVE
the biggest threat to democracy is the democrat lie about the jan 6 protest the capital police were actually opening doors to allow protesters in to the capital and escorting them thru,2,NEUTRAL
is that u joe the botox working for u old 81 yr skin tuck it in take a nap dont for get keep your depends on,2,NEGATIVE
bring the orange guy back,2,POSITIVE
nothin but a partynuthin but a gangster party,2,POSITIVE
as allen mccurdy stated in his keynotes for the third party national convention in 1920 after years of secret slavery the republican party and the democratic party come out into the open and reveal to themselves and to the nation as nothing but the right wing and the left wing of the same bird of prey then theres the old adage that if you are not part of the solution you are part of the problem republicans none of you deserve brownie points or respect from your constituents for doing what you did sitting and making frowny faces and shaking your heads while this narcissistic megalomaniac told one glaring lie after another and disparaged my predecessor whose name the coward couldnt say who was he even referring to it couldve been any former president really or a member of congress for that matter we know it wasnt president trump as it is a fact that president trump did not say that russia could do whatever the hell they want but obama was caught on a hot mike making secret promises to putin,2,OTHER
dear third party voters rfk jr independents libertariansplease for the love of country vote support trump this upcoming election the current administration is hoping those fleeing biden those middle roaders disliking trump will vote 3rd party rfk jr indys libertariansplease endorse trumpas much as people may want rfk jr as president it just wont happen no third party has ever came close this election has way too much to risk at this juncture the usa you want is the same or very similar to trump maga ideology if we do not stand united the biden admin their insanity will reek more havoc to a point where the usa as weve known it will be no more heres how i currently see things id rather vote have an idiot with policies that work for the american people in lieu of an idiot with policies that are against the american people people leaving the left because of their insane policies are the exact reason why people did not vote for them in 2020 we on the same pageso lets unite,2,OTHER
mr speakerthe head sniffer of the no longer united states,2,NEGATIVE
i wish i knew what kind of drug theyre giving this guy hes going from completely out of it to somewhat lucid,2,NEUTRAL
honestly joe looks just like walter on the jeff dunham show only joe is the real dummy with obamas hand shoved up joes butt and moving his lips,2,NEGATIVE
nice try joe but we dont trust or believe you,2,NEGATIVE
meanwhilewe in texas are making our schools safer not you biden,2,NEUTRAL
just because you spew lies does not make them true god help us,2,NEGATIVE
this was a campaign speech,2,NEUTRAL
lies lies lies he is a corrupt criminal that has been destroying this great country all he spoke were lies lies lies shut the border down now all the americans that have died is because you and the left their blood is on your hands worst president ever,2,NEGATIVE
biden is trash worst president ever,2,NEGATIVE
when me as a senior reach a certain age time to go he to old for that postion and he frailspeak the truth shame devil do better fine a young man who can just move faster my lord help us jesus amen that settle it in heaven on earth and be safe amen amen,2,NEUTRAL
i really didnt hear the state our union is in but just a lot of yelling at us americans that see through this admins bs,2,NEGATIVE
what a waste of time watching this,2,NEUTRAL
hunter gave too much of his stash,2,NEUTRAL
biden said he believes in freedom and democracy core values like honesty decency dignity equality and respect and that other people his age see it differently way to lose the votes of us seniors,2,NEUTRAL
old people yell a lot,2,NEUTRAL
in my lifetime 64 yrs now i have never heard during the state of the union any president taking up time speaking about their predecessor none the less deciding them disgusting,2,NEUTRAL
what a total joke,2,NEGATIVE
watching them clap for brandon makes me sick to my stomach you dont clap for the man who has ruined our country and destroyed everything the troops fought for 20 years when he pulled out,2,NEGATIVE
very sad,2,NEUTRAL
lies,2,NEUTRAL
obama is the pepet master of lieing joe biden i hope and pray the republicans get more stronger and stop the democratic party fixing the voting because we americans know the fix is in we need president donald j trump,2,NEGATIVE
shits all talk and no walk,2,NEGATIVE
what an angry sad old man i have no sympathy for the devil and the devil he is,2,NEGATIVE
i didnt watch it i get enuff bullchit out in the pasture ive watched clips and yep it was bullchit,2,NEGATIVE
four more years how can anyone cheer for that,2,POSITIVE
everything from the beginning has been lies and more lies its time for you to go joe,2,NEGATIVE
what about the american people nothing for us trump202now,2,POSITIVE
the funniest part were the sycophants that surrounded him at the end you were phenomenal you knocked it out of the park the fact that joetato was able to stand up for one hour at a time telling lies should not be considered impressive utterly worthless as a president and the harm hes done to this country will take a generation to fix,2,NEUTRAL
awful,2,NEGATIVE
ill vote for a college graduate over this bozo in an instant,2,NEUTRAL
all the ones clappjng are the ones that are sending this country down the drain,2,NEUTRAL
hes so full of it,2,NEGATIVE
what economy is he looking at,2,NEUTRAL
im wondering what kind of drugs they got him on so he can talk hes never that clear when hes talking,2,NEGATIVE
glad this is the last year i have to listen to this dude,2,NEGATIVE
last i checked ukraine isnt a part of nato,2,NEUTRAL
how about stand with america american citizens,2,POSITIVE
incredible how many lies they wrote up for biden to spew tonight the first half of the speech was full of bogus claims and skewed statistics trying to paint an economic picture totally at odds with reality many policy proposals were taken straight from the republicans and will never be seriously pursued all crafted to deceive it was a dizzying orchestra of propaganda but he did manage to hold himself together sufficiently i guess it was worth pumping him up with all that prevagen neurogen ritalin hunters cocaine and blood transfusions from two young children so he could get through that speech even though not a glimmer of truth shined out of it,2,NEGATIVE
get out of ukraine now bull,2,NEUTRAL
what a joke,2,NEUTRAL
13654 and the oscar goes to lol,2,NEUTRAL
an angry man is compensating for a lack of inward confidence,2,NEUTRAL
bum,2,NEGATIVE
this place looks like an old folks home when does bingo start,2,NEUTRAL
i threw up 2 times watching the lies,2,NEGATIVE
clapping seals,2,NEUTRAL
lincoln riley,2,NEUTRAL
you make me,2,NEUTRAL
i feel bad for usa people so sad to hear these from this man from kennedy to raegan great men and now this the us have failed the world doesnt see yall like before,2,POSITIVE
this makes me so sad,2,POSITIVE
this is all were going to get as far as debates go,2,NEUTRAL
i cannot believe he said what he did about lankin absolutely unbelievable,2,NEUTRAL
theyre clapping because hes almost out of there,2,NEUTRAL
old liar,2,NEGATIVE
how much is he paying all them clowns to clap,2,NEGATIVE
joe joe joe joe go blow trump trump trump will get us out of bidens war time slump,2,POSITIVE
waiti think the arizona votes recount found somethinglolnopeawe mankeep dreamin tho,2,NEUTRAL
nothing but division from the president this was not a state of the union it was a campaign speech,2,NEUTRAL
the safest weve been this man couldnt even pronounce laken riley were in more danger than ever youre a liar and the worst president we have ever had,2,NEGATIVE
nancy only mouthed four more years knowing some camera could find her,2,NEUTRAL
he said roe v wrade,2,NEUTRAL
what a goof looks like the fentanyl works for him to stay awake lol,2,NEGATIVE
night of a thousand lies,2,NEGATIVE
how much they get payed to to howl an act like wanted there,2,NEUTRAL
gosh this is sickening lies im so glad god almighty is on the throne and truth is coming out about jan,2,POSITIVE
biden will have swollen lips by the time hes through lying,2,NEGATIVE
i agree 100 with the first sentence he said at 4615 it seems he is clearly not smart,2,NEGATIVE
i just cant do this,2,NEUTRAL
yeah biden put a fence around the capital but he wont secure our borders which is more important,2,NEUTRAL
i am a democrat now but i used to vote for who i thought was better not a party after trump i could never ever vote for a republican again but watching this just made me sick lies lies and more lies all these rich people representing we the people have no idea of the struggles the low to middle class are facing right now there may have been jobs created but they are all crap jobs and people are working 2 to 3 jobs just to stay where they are and are barely hanging on inflation is 39 what a lie that is do you really think us americans believe that joe you should not run due to your age and let someone step up and take on the problems you have been unable to solve for us the state of the union is strong really joe you are living in the twilight zone i just want to slap that smile off of kamalas face she is just thinking if good old joe kicks the bucket she will be president this is just making me so sick i am turning it off,2,OTHER
one lie after another lie if we keep him in office its over for us,2,NEGATIVE
absolutely disgusting all i heard in this angry old man speech was lies entitlement disrespect contempt empty promises division and nothing to fix the border he broke nothing to fix the price gouging his administration caused with inflation nothing to actually help american citizens we do not want 4 more years of this corrupt administration we will not survive it,2,NEGATIVE
the response is full of lies shame on you putin pupet fox,2,NEGATIVE
10511 the real joe biden,2,NEUTRAL
all that hot air where are the balloons,2,NEUTRAL
what a disgrace joe biden is,2,NEGATIVE
what the hell is everybody so f happy about,2,NEUTRAL
well they had all the criminals in one room at least all know who they are,2,POSITIVE
i wish they had started chanting trump,2,POSITIVE
ironic biden talks about democracy and freedom when he wants total governmental control of the 2nd amendment raids political opponents reinstate unconstitutional laws like roe v wade and threatened the us supreme court absolutely sickening how people still support this monster,2,NEGATIVE
just imagine four more years of this he craps out and kackeling kamala is in office god help usnovcant come fast enough,2,NEGATIVE
biden dont decide for israel two state who the hell are you to make a decision on behalf of israel god bless israel in the mighty name of jesus christ amen and amen from safrica amen,2,POSITIVE
no mention of asean in relation to china,2,NEUTRAL
where is mike tyson when ya need him,2,NEUTRAL
from the sanity of australia to president biden real measurable achievements and promises which we know he will keep,2,POSITIVE
why are all these businesses continuing to close and file bankruptcies why is food sky high why are homes so expensive why is biden such a liar when he has destroyed our borders and economy,2,NEGATIVE
you have to respect our first lady for waking up to that every morning few are that brave,2,POSITIVE
is this a state of the union or a campaign speech sure sounds like the latter did he just threaten the supreme court justices sounded like it to me,2,NEUTRAL
what he mentions trump policies takes credit for them and trashes trump,2,POSITIVE
divisive joe on adderall,2,NEUTRAL
bernie sanders for president,2,NEUTRAL
50 years of corruption,2,NEUTRAL
