comment,stance_llama_8b
sleepy joe woke up lol not a republican nor a democrat but its good to see he still has some energy now he just needs to keep these promises especially about roe v wade,OTHER
its crazy how much they only want more war and how all these people can lie to our faces dems and republicans serve nothing but their own bs dont worry we are uniting without you and your reign is coming to the end,OTHER
did anyone ask where is his cocke head son hunter,CONSERVATIVE
worst state of the union ever democrats love feeding division hatred and fear to get votes,CONSERVATIVE
yet not mentally fit to stand trial for his classified documents crimes,CONSERVATIVE
im so confused how did he do this speech without getting lost this is literally the only time ive seen him make a decent speech,LIBERAL
i believe the best part of the presidents speech when he kept saying you built america your the reason our country is coming back i never heard him one time say i did this or i did that he truly loves our country and cares about the people it,LIBERAL
i find it hilarious that mtg keeps moving down the aisle to get the presidents attention clear on the other side where all the democrats are sitting shes so sad and a glory hog,LIBERAL
hes just like my grandpa pathetic incompetent and clueless,CONSERVATIVE
an advertisement for rubbish removal just presented on youtube how apt,OTHER
grandpa yelling at me for an hour,LIBERAL
aint no mistake democrats are trying to push in the one world government my vote for them just so that they can do it,OTHER
i might vote democrats just so they can win and push in the one world government so revelations is fulfilled,OTHER
did he just warn putin i will not fall down,LIBERAL
for security reasons president biden should ban tiktok,CONSERVATIVE
why is it when he talks about money i fell like he said lets make our pockets fuller but didnt say average american in the whole sentence,LIBERAL
he speaks about all the evil israel is committing but wont dare call it genocide theres no middle ground here hes just trying to play both sides,LIBERAL
why do people still vote,OTHER
am amazed putin hasnt been assisted please hurry up then we can get back normality,CONSERVATIVE
kackling harris w her gnarls fingers clapping is sich a horrid scene to see,CONSERVATIVE
what a joke make america great again president trump,CONSERVATIVE
mr president uncle joe you showed up and showed out speak truth to power gods got your back,LIBERAL
hi russian bots,LIBERAL
worst state of the union address ever seen before,CONSERVATIVE
president biden the worlds largest president has ever had,LIBERAL
i like the part where they tweaked the narrative,LIBERAL
this is the best clone they have,CONSERVATIVE
you can tell that speaker johnson agrees with much of what the president said,LIBERAL
mr speaker the president of the united states,OTHER
the number of gum chewers in that room is staggering,LIBERAL
people are working two plus jobs and we should be happy,CONSERVATIVE
all they give us is crumbs if you made lots of money being in office when you leave you should not get health care and pension,LIBERAL
good job mr president,LIBERAL
i know msnbc is embarrassed to show this,CONSERVATIVE
speech of more lies and corruption worst state of the unio speech ever made by the worst president ever i mean ever,CONSERVATIVE
what is war good for absolutely nothing except for the people who make weapons to get richer,LIBERAL
automation ai outsourcing toxic working place modern day slavery minimum wage and homeless there are not enough good paying jobs for american people we need universal guarantee income and universal guarantee healthcare in america the american people are suffering and nobody cares in america except talks and no actions thank you,LIBERAL
last ditch effort to winnot slick at all,CONSERVATIVE
vote blue for progress and prosperity in the country,LIBERAL
oh hes on fire and not so sleepy now it goes to show you that besides his age he is still a fighter,LIBERAL
i have to wonder what on earth have the republicans done in the last 4 years anything anything at all do they care about anything other than dt,LIBERAL
as a north european that was a bloody fantastic speech,LIBERAL
this is proof that if biden stuck with the 2 day work week and his supplier could keep him on the right amphetamines he could stand trial for his crimes,LIBERAL
one thing i can tell president joe loves to talk i can tell by when he was walking in and leaving he loves to chat jill done had to talk to him about this i bet,LIBERAL
msnbc lies trump said to march peacefully to the capitol fact was he convicted no nobody was shot to death by a protestor fact oh a little unarmed trump woman was shot by a racist guard bidens speech was a joke it was almost exactly like last year fyi enjoy the record crime mostly in dem cities record high gas record inflation the military not making its quotes as we are closer to wwii than ever no dialogue with putin for peace millions of illegals let in and not vaccinated or vented again fact i could name more facts if you want,OTHER
i cant watch this jokester we are the laughing stock of the world our country has fallen so far i have my doubts that we will ever be great again,CONSERVATIVE
this pos lies every time he breathes he cant help it they set up trump and his supporters sleepy fjb stole the election and now he and obama and the rest of you are destroying our country trump 2024,OTHER
funniest part in this is seeing the swedish prime minister ulf kristersson standing up with the rest of the people standing up all the time probably not because hes fully onboard with what biden is saying seeing as hes not an american and the head of state of a completely different country just goes to show that hes very polite haha,LIBERAL
why does the presidents cabinet have a walkout like an nba team,LIBERAL
wow a lot of this is all bogus inflation youre making it worse cant just give give give and think inflation wont happen ronald reagan said inflation is from government over spending this is true less government is what we should be applauding to not this cult leader and his smug vp this sounds like a government over throw all these people are so far left and right its crazy lets all get to a common ground chanting idiots,OTHER
all the devils in one place,LIBERAL
president biden was amazing he will definitely make history the republicans will be remembered as well but as the absolute disgrace of their republican party,LIBERAL
anyone elses non profanity comments deleted of this benedict arnolds rant,LIBERAL
what a trainwreck,CONSERVATIVE
i love how joe biden makes his own rules as he goes instead of following our existing laws he has become a ruthless dictator with this open border deal making illegals legal with the wave of his magic wand now we are all supposed to bow down to him and feed him our tax to pay for this mess,CONSERVATIVE
where is the president seal not in front of joe,CONSERVATIVE
what a complete joke the only thing he accomplished was to continue breathing low bar his own vp looked annoyed having to stand and clap for absolute bollox would have been better off replacing him with ai that could speak coherently and didnt cough every few minutes 15million new jobs in 3 years bollox thats people returning to work after covid shut downs which btw he also said covid will not be allowed to control us anymore covid never controlled us the government did with their lies regarding covid until some states got wise to it and said no more,OTHER
we heard a president speak about the love for the country and all its citizens plus he gave a road map to improve the lives of the little man and woman the other guy only wants the power of a king with the accountability of a toddler the difference s huge its democracy versus tyrannical rule where only the majority community has rights and freedoms,LIBERAL
president biden performs his function in our government his oposition offers a man who does not have that capacity how could anyone looking critically for truth not find that,LIBERAL
2650 minutes of crap just start on the speech already after watching i have a couple of observations about bidens speechlies and bs everything good 45 did this imbecile too credit for all his own failures he blames on 45 winning an election by election fraud is not winning and jan 6 was not an insurrection also about social securitythis imbecile has instuited legislation to raise the tax on social security three times in his 52 years in the government,CONSERVATIVE
i loved when potus said i know you know how to read lol,LIBERAL
our politics are a joke these days,LIBERAL
i dont see how anyone can hear anything other than empty promises when he speaks all these people hooting and hollering has absolutely no olace in the congress floor what a joke,CONSERVATIVE
at 4640 joe says wall street didnt build america theyre not bad guys they didnt build it though the middle class built the country and unions built the middle class sounds like joe is attempting to avoid animosity and bring people together here rather than tear people apart like donald does however the fact is that the middle class contributed only only partly to building the us seems to me that the working class and the slave class did most of the work with help from the middle class and also help from rich investors venture capitalists including wall street people all contributed to building the us but at least joe made some attempt to bring us together rather than attempted to make us fear and hate each other by the way im saying this as someone who has been a member of most if not all of these classes of people a factory worker an artisan proprietor of piano service business tuning adjusting and repairing pianos and who having retired has even made a living by as a capitalist investing successfully in corporations ive known and been friends with many people from all these classes of people the united states unlike some other countries is a place where one can move from one class to another or become part of more than one class at a time and where we people can work together with one another rather than fear one another the thing that donald encourages us to do,OTHER
state of the union address but immediately starts talking about ukrainei guess theyre part of the union,LIBERAL
lawmakers should not be allowed to accept donors money while they are in office its will divide the party lets pass a law to stop this type of work ethics,LIBERAL
weird how he didnt start his speech with anything positive or of any positive things he has done since being in office no warm american welcome,LIBERAL
wow this country is done i wonder what the next great country will be,OTHER
thats an amazing face lift on joes face his eyes disappear more into his face every year,CONSERVATIVE
when has the right to abortion been on the ballot not in any recent election ive voted in,LIBERAL
thank you president biden four more years,LIBERAL
yo listen up let me spit some truth bout bidens policies got the world in a noose disrespectin leaders losing allies doesnt know what not to say on a hot mic told bibi come to jesus man that aint cool disrespected peoples faith breakin all the rules so you would think he was cool then laken riley he butchered her name no respect for the fallen its a crying shame bidens apologies aint worth a dime disrespectin everyone at the same time with fist bump diplomacy hes playin it bold were losin allies man its gettin old apologized to a murderer whats that about called him illegal then turned it inside out respect for the law its all gone astray under bidens reign its a darkening day saudi prince called em a pariah state fist bumps aint diplomacy man its just hate losing respect allies turnin away under bidens rule were led astray bidens apologies aint worth a dime disrespectin everyone at the same time with fist bump diplomacy hes playin it bold were losin allies man its gettin old its time to wake up see the damage done bidens policy it aint all fun we need a leader who can stand tall and true bring back respect for me and you so lets rise up make our voices heard demandin respect with every word bidens policies they gotta go we cant wait for trump to take over the show,OTHER
nobody clapped when he talked about ethnic wage gap,CONSERVATIVE
this state of the union was a bunch of bull sht,CONSERVATIVE
the wealthy want to keep the majority of the population poor and needy to be able to control it without money people go hungry and unhealthy starving and unhealthy people have low energy and loose the interest of getting involved in anything the population should unite with those who seek the wellbeing of the people instead of the wealth increase of the few,LIBERAL
a record high lies in one segment i could list over 50 lies in this speech,LIBERAL
this has to be a joke all these ppl really are paid actors we are supposed to be so stupid to really think any of this is true or good where are the adults to say this is enough what you are doing is bad wrong and this is over,OTHER
4 more years the country wont be here what the heck are you dummy talking about,CONSERVATIVE
when i used to live in the usa 36 years ago the minimum wage was 500hour if the minimum wage is now 700hour the minimum wage has only been raised by 0056hour on average during the past 36 years note 700 sek 7168hour sek 1146800month before taxes that is slave wages i get more than that in retirement and my retirement is roughly 55 of the wages i earned when i was working what does that tell you about a 700hour minimum wage,LIBERAL
these clowns honestly think will just forget all about how they ran this coubtry for the past 4 years smh,LIBERAL
all the standing up and down and incessant applause was super awkward,LIBERAL
if you are not a first american you are an immigrant if you demonize all immigrants you are actually demonizing yourself think about it,LIBERAL
what a joke this guy is,CONSERVATIVE
2650 hundred percent agree,LIBERAL
he got bobby kennedys name wrong,OTHER
phones need to be banned from these chambers theyve never been a part of it before and it should stay that way,LIBERAL
scream of the union address,OTHER
what are 3 topics he was talking about,OTHER
it is the 1 and only job of congress to find common ground for both sides and make things work if the republicans sat thru that speech and couldnt find common ground with any of this couldnt even bring themselves to clap or stand for one thing they arent qualified to do the job we can all fight but its our governments job to help us find the bridges not to burn them and i challenge any republican to name one time in trumps rally speech that reached across an aisle one i can name ten from this speech alone and not one republican representative saw anything accept items they plan to oppose and that gets us nowhere,LIBERAL
what a party,LIBERAL
someone needs to remind biden what the word literally actually means,CONSERVATIVE
we as the people of the united states are being played as fools we are being turned against each other so the demise of our country can come,LIBERAL
clearly trump didnt let mike johnson clap or stand for anything biden said dude didnt even clap for ending childhood hunger or curing cancer what a joke,LIBERAL
if i was smart i would go home now,OTHER
more of a political speach than state of the union,LIBERAL
embarrassing ill tell you one thing theres a whole lot of silent americans in hills and hollers that will die for this country,CONSERVATIVE
go crawl back ito your hole biden,OTHER
the reality in united states have so many racism issue white american will lost their political power around 2025 year later united states will get hispanic 1st president in united states around 2025 year later in 2024 census white american decrease to 535 only china will take the united states position in the world when white american lost their political power in united states lost control in united states military economy,OTHER
worst president in history joe dumbdumb biden,CONSERVATIVE
remember the summit where trump and putin were alone for two or three hours plotting invading ukraine,LIBERAL
what did mtg shout at 10938,OTHER
the top of the food chain clown show,CONSERVATIVE
this country needs people working in the government system work for the country not for their party since the later 1990 to now each time the democrat hold on the power they ere destroying their country foundation they are creating so much depth for the country,CONSERVATIVE
this leader have no shame and its people the evils to deal with no shame people has to uses the animal ways to respond or to do,OTHER
no more years,OTHER
let me clear my thoughts,OTHER
i believe mike johnson is gonna vote for biden he was nodding in agreement an awful lot,LIBERAL
this speech was nothing but lies and deceit real eyes realize real lies,LIBERAL
this wasnt a state of the union address this was a campaign speech,LIBERAL
whos the lady that enters with biden at 1724 ive seen her at past speeches as well and always wondered,LIBERAL
121 im glad that in a show of unity for the safe return of the israeli hostages both vice president harris and speaker johnson gave president biden a standing ovation when he pledged to bring them home,LIBERAL
im just now watching the full speech its way better than the clips i think this is the best state of the union i have ever watched he talked about all issues that mean the most to us regardless folks thats beautiful speech just beautiful,LIBERAL
4106 bro shook his head,CONSERVATIVE
not a person in that room pumped their gas or bought there oun groceries,LIBERAL
what kind of speech was that,LIBERAL
1984 big brother speech,CONSERVATIVE
the next state of the union will see the other side sitting down with angry faces except theyll be booing like children the whole time,CONSERVATIVE
makes me sickall you commis,CONSERVATIVE
treasonous all of you who applause,LIBERAL
i heard he was on fire this is elder abuse,CONSERVATIVE
shouldnt he just say this country is destroyed,CONSERVATIVE
i dont understand how this man can continue to gaslight and lie to the american public things are not ok we keep adding 1 trillion to the deficit every 100 days under bidenomics were inflating at 14 a year not 3 this man is destroying this country,LIBERAL
biden is ukrainian patriot because ukraine made his family rich and out of 160 million registered voters trump will receive 85 million and biden will get 95 million while conservatives are creating goods industries science agriculture democrats are into politics legislating and indoctrinating the youth in marxists ways 2024 choices 1 cosa nostra elder or 2 patriotmartyr 3 rfk jr,OTHER
brandon said he wants the soul of america wwg1wga,CONSERVATIVE
the speaker was powerful he delivered the truth he deserves our respect and support,LIBERAL
mike johnson is a turd he must be in pain from holding that stupid look on his face for so long,LIBERAL
nancy sure has aged what was she even doing there,CONSERVATIVE
at what point does this start,OTHER
support union jobs bet u youve never heard of the keystone pipeline,CONSERVATIVE
what a disgrace to this great country fjb,CONSERVATIVE
same state of the union speech third year in the row,LIBERAL
that should of had a ice cream party,LIBERAL
repeated lying over a 100 unintelligible examples of slurring more if you could actually make out his diction through his slurring actually mispronounced a womans name while holding a badge with her name on it biden is a national disgrace,LIBERAL
from an independent voter strong state of union stop standing dems your boy did good,OTHER
joe biden is low key avoiding the minorities as he walks down the aisle,CONSERVATIVE
starts at 2635,OTHER
brilliant me president,LIBERAL
biden shouldve had a plan on may 11 2023 people are suffering when he removed the covid policies kicking people off of medicaid and ssi dropping peoples snap benefits in the middle of inflation so disappointing,LIBERAL
1 trillion every 100 days people wake up good god how long do u think thia countey can keep doing that untill the bubble pops yet they keep sending more to ukraine and illegals get free everything this has to stop,CONSERVATIVE
biden sounded like an angry old man shouting to try to prove he is alive he is such a disgrace to this country fjb trump for president in 2024,CONSERVATIVE
lies is all it is,LIBERAL
i dont understand why majority of americans cant get with what the president is saying and proposing the funny thing to me is when democrats finally get these policies passed head start minimum wage family leave there are more ppl in red states that benefit from these policies the most but there representatives vote against them how backwards is that why ppl vote for republicans who vote against there best interests someone explain this to me,LIBERAL
ask new york or chicago if they want more illegals coming to there cities all i can say is they got what they voted for,CONSERVATIVE
all that bill will do is rush illegials in the us quicker im sick of my taxes getting higher to pay for illegials to get everything free,CONSERVATIVE
you wont be able to stop trump biden you will be parked in a nursing home somewhere where they are hiding your meds in your applesauce,CONSERVATIVE
if you notice mike johnson isnt shaking his head yes or clapping lol,LIBERAL
biden couldnt draw a crowd like that this is as fake as it gets,CONSERVATIVE
why is the supreme court in the front row they dont represent us the american people,LIBERAL
yea they just showed the whole room nope that is not real probably ai generated,LIBERAL
so funny to see mike johnson sitting in the background shacking his head at things he does not support,CONSERVATIVE
i doubt very seriously that there are that many people in that room either,LIBERAL
clapping kamala what a joke she is,CONSERVATIVE
what a liar biden is the biggest liar i have ever seen most every word out of his mouth is a lie i will be so glad when trump gets back in office and cleaned up this idiots messes gets rid of all these illegals yea thats one truth he told history will be watching and it wont be kind to biden or his cabinet it hard for me to believe all he has destroyed but thank god president trump will get it right he had a lot to clean up i hope to see these people in prison where they belong and the media with them biden surely you dont honestly think you can win lol,CONSERVATIVE
go watch robert kennedy jrs version of the state of the union i implore you he wanted to run as democrat but wasnt allowed to because hes too honest for the sake of the sponsors this video is nothing but a sponsored ad,OTHER
snile old man is on adderall to deliver this trash state of the union address through teleprompter,CONSERVATIVE
sotu address actually starts around 2645ish,OTHER
lincoln riley how embarrassing,CONSERVATIVE
54 minutes bring inflation down landlords shouldnt gouge renters but if the government gets there paws on the process im sure the government will be the only ones who benefit and once a home is owned outright why are people required to continue to pay property taxes year agter year on something they already own,LIBERAL
when he speaks loud it makes the lies easier to swallow well its suppose too,LIBERAL
you have destroid the middle class joe,CONSERVATIVE
he such a slime ball they will do nothing all the programs the say they will create new infrastructure is just a way if getting more but will do none of it just like the railway that ca recieved and built nothing spend our but do nothing,LIBERAL
everything he says believe the opposite this is nothing but campain hageling he has done nor will he do anything,CONSERVATIVE
biden has had the father of a marine who was killed in action arrested for heckling the president at the state of the union address this year steve nikoui 51 was arrested on a misdemeanor charge of crowding obstructing or incommoding after repeatedly yelling abbey gate during the presidents speech abbey gate is the entrance to hamid karzai international airport in kabul afghanistan where a 2021 suicide bombing killed 170 civilians and 13 us service members including lance corporal kareem nikoui both mr nilotic and his wife both blame biden and his utterly careless and rushed afghanistan withdrawal for their sons death this man has sacrificed his son and now has been arrested for heckling this dolt of a president bidens actions are utterly disgusting he deserves the contempt of every service man every member of their family and every american who supports the us military,OTHER
mike johnsons smirks speak volumes on the great divide his group of extremists pale in bidens presence,CONSERVATIVE
but joe you really lost,LIBERAL
but joe you really lost,LIBERAL
just to let yall know under the constitution it is treason to give aid to your enemies the government has been committing treason over and over iran and gaza also many others,LIBERAL
this fool has no idea about economics,CONSERVATIVE
im no fan of biden or trump but marjorie greene is out of pocket she shouldnt be in there with political insignia on as a rule then she interrupts real classy,OTHER
i cant believe anyone is satisfied with joe or donald an absolute abhorrent choice i hate this so much i hate the idea of best of two evils,LIBERAL
am i the only one that noticed after he says that theyll cap insulin at 35 month he said american indonesia,LIBERAL
the bill to hire more border agents and whomever to take care of back logged processing of immigrants wouldnt be as needed if he just close the border,CONSERVATIVE
what tax credit i didnt get any tax credit,OTHER
where is the presidents seal wake up america,CONSERVATIVE
the ramblings of a senile old criminal pumped up on amphetamines echoing the sick sentiments of communism and the quest for perpetual national economic and racial war,OTHER
13005 the speakers face when biden said honesty,LIBERAL
biden sucks and is the worst president ever who has destroyed this country he doesnt deserve a 2nd chance,CONSERVATIVE
he lied about everything crooked administration,CONSERVATIVE
send all grandfathers to retirement homes,LIBERAL
so many clowns in one roomshow for,LIBERAL
a nation and government of idiots the biggest ones ever in history of humanity,OTHER
this president doesnt look like anyones conspiring behind him,LIBERAL
it was good to see the blackrobed hypocrites squirming i doubt they have anyone speaking truth directly to their faces very often,CONSERVATIVE
is this some kind of sick perverted joke going on here,CONSERVATIVE
illegal immigrants should not vote flat out illegal,CONSERVATIVE
theres no denying biden absolutely nailed it even if you have the iq of a carrot,LIBERAL
every american should hold on for 3 years not paying taxes we all have 3 years to pay that would stop the government from take advantage of us tax payers,LIBERAL
what really is funny is joe biden literally threatened the supreme court yet will not be held accountable or so he thinks the fact that he is literally making it easier and easier for trump to win is the only beautiful thing about that,LIBERAL
5000 illegals coming in a day is not fixing the border,CONSERVATIVE
and as it was in the days of noah so it will be also in the days of the son of man they ate they drank they married wives they were given in marriage until the day that noah entered the ark and the flood came and destroyed them all likewise as it was also in the days of lot they ate they drank they bought they sold they planted they built but on the day that lot went out of sodom it rained fire and brimstone from heaven and destroyed them all even so will it be in the day when the son of man is revealed,OTHER
this fool is for illegals more than he is the american people,CONSERVATIVE
biden lied as usual all through this drugged up speech,CONSERVATIVE
i for one sure love paying 8 for a big mac bidenomics in action,CONSERVATIVE
such a false cheerleader farseness resounds loudly from this room noone can afford anything people are working two jobs and most cant buy a house get a car and are losing everything four more years of this and the american dream will be gone vote kennedy 2024,OTHER
i love this speech i though the president was energetic he engaged with the hustle crowd had some humor and also addressed his age and the old ideas of his predecessor brilliant 4 more years is what im thinking biden harris 2024 all the way,LIBERAL
this genocide joe is actually obsessed with his home of trade biolabs and cia secret caves of ukraine instead of telling us what he will do for americans as its presidenthe is enumerating steps he will take to help a foreign country,LIBERAL
biden has ignored the border for the last three years and even had his agents cut the barb wire to let them in now that he wants to get elected hes trying to fix it because this is one of the areas where he had low points so he set the fire and now he wants to be the hero to put it out,CONSERVATIVE
very nice mr speaker to standup for john lewis when his name was called,LIBERAL
i can see the face of the black legal expert ladywho during the interview said i dont know definition of a woman,LIBERAL
four more years thats the bulldog i remember biting the bad working for all we all,LIBERAL
sleepy joe took the snowflake fascists to the woodshed at this speech future scholars you have been warned lol,CONSERVATIVE
isnt it interesting how the media showed the 1 coherent reply by dt to this but they wont show when he uses incoherent utterances that medical pros call phonemic paraphasia brain damage best stou despite the disrespect,LIBERAL
he did a great job he was sharp and delivered his speech very clearly without referring to his written speech,LIBERAL
china and russia are about to cut the west off of natural gas,CONSERVATIVE
iran isnt a threat they are people just like us stop it stop finding someone to blame,LIBERAL
best speech in history,LIBERAL
considering the current state of things its probably a good time for democrats to admit that when biden took office and overturned all of trumps policies in the first 100 days that it was just for spite and it backfired bigtime on the american people,LIBERAL
that wasnt a state of the union it was campaign rhetoric gaslighting,LIBERAL
biden wants to regulate snack companies so they cant put in fewer chips in each bag of chips shrinkflation he says he wants to sign a bill but a bill that does what exactly legally mandate each bag needs at least 30 chips bags are weighed and the weight is labeled on the front what more does this guy want,LIBERAL
can someone tell me who the woman is sitting next to hakeem jeffries at 2855 4533 4622,OTHER
someone oughta do an avg price of everyones attire these dont look like public servants to me the laughing and congregating before the speech as if we arent in some of the darkesthardest times of our nation wake up they dont care about you only how they can better them and theirs,LIBERAL
unless youre native american you imigrated here stop hating yourself,LIBERAL
anybody wondering why clarence uncle tom thomas isnt there,LIBERAL
banks changed recently from getting the majority of their income from interest on loans today banks make the majority of their profit on fees now,LIBERAL
if the republicans seat were rigged with tasers you could make them stand up and cheer,OTHER
i thought george santos waswait thats marco rubio,CONSERVATIVE
mumbling sweating shaking forgetting pausing yelling lying blaming and staring off into space typical biden still embarrassing all of usthe light upstairs is just a dim flickering nightlight he should just go home and enjoy the months he has left in his old age instead of being put on display like a fool,LIBERAL
vote kennedy 2024 make america great again vote kennedy 2024 make america a place our children can afford to buy a house vote kennedy 2024 give americans free choice over medicine vote kennedy 2024 kennedy meets all the needs of americans and has a brain to straighten out all the mess vote kennedy 2024,CONSERVATIVE
no manufacturing that produces pollution will ever be able to operate in the us,LIBERAL
