comment,biden_stance,trump_stance
2126 he said im going to continue to push until we get the full ban full initiative relative to what we can do with more border patrol and more asylum officers i dont see why people think this makes him soumd confused hes actually answering the question as asked unlike trump who uses every question as an excuse to rant off topic yeah trump sounds articulate while hes making stuff up like saying that biden opened the borders its easy to find the words when you say whatever the heck sounds good to you biden is carefully thinking of the accurate response and happened to stumble on one word in the context of a high pressure timed debate someone stumbling on a word as they quickly decide which point to make in the moment is normal ill take unembelished honesty over articulate nonsense any day,FAVOR,AGAINST
who is here because joe biden cancelled his plans for reelection,AGAINST,NONE
joe number onenumber twonumber threee,FAVOR,NONE
biden talks just like tinubu of nigeria could it be the bfactor couldnt wrap my head around what he says,AGAINST,NONE
so according to biden only black families struggle with child care and home buying cost,AGAINST,NONE
and the problem isnt biden its the dnc platform and the shadow people who are really running the country into the dirt and pulling this puppets strings,NONE,NONE
the idea,NONE,NONE
biden wasnt the right guy in 2020 hes never been the right guy it was just his turn and they didnt have anybody else so they stole it for him and installed him against americas wishes all you need to do is see his son hunter to see what jb produced into our society father of the year hed never win,AGAINST,NONE
joe biden is caudeling the black community for votes,NONE,NONE
lets see 900 billion dollars to ukraine from you the tax payers under biden under obama trillions to 13 wars more depth more death in history including more than ww1 ww2 combinedunder obama and record breaking inflation under biden gas food real estate electricity disaster and his clean so called economy which is worst for enviroment than gas this man just like trump said a disaster,AGAINST,FAVOR
donald trump,NONE,FAVOR
president trump please rescue social security and medicare,NONE,FAVOR
did either of them give an actual answer,NONE,NONE
why are they both anti white,NONE,NONE
1154 the first president to say skibidi,NONE,NONE
me tooo,NONE,NONE
this is why i dont vote lol,NONE,NONE
i saw it for myself president trump should have won the last election i cannot imagine how it changed overnight wheres the proof that it wasnt stolen i dont see or hear anything about that,NONE,FAVOR
whos continuing to watch after biden dropped,AGAINST,NONE
we need them to play a game of yugioh,NONE,NONE
this is what started the whole coup for the dems they didnt think he would do this debate trump 2024,NONE,FAVOR
when its the turn for trump and he starts grilling joe i look at joes face and he looks very disturbed i sympathize with him grilled joe is gone,FAVOR,FAVOR
i agree that this is our last chance to change things around for the better making the right choice is the most important thing we have to face right now more than ever,FAVOR,NONE
i love how the democrats in this comment section are trying to cope with the dementia patient of a president they voted in by acting like both did horrible during this debate and its all a joke trumps absolutely destroyed biden no contest and he just proved on july 13th how much of a leader he truly is,AGAINST,FAVOR
imagine if this kind of debate happens in india between former pm and current pm,NONE,NONE
trump is the right guy,NONE,FAVOR
why joe why because we know what you are we know what runs rampant in dc and throughout the media and corps,AGAINST,NONE
this type of debates should be in our country also but our minister is coward he is afraid of media conference then its impossible to imagine that he would debate because he dont have guts to debate its our fault who is blind,NONE,NONE
trump should be able to make right what was done to him the way he was treated i believe there are a lot of people being treated wrongly in the same similar ways this is the cause for american division we cannot allow this there is so much more that is wrong going on and i hear one person talking about solutions and the other totally stuck on trash talking i realize that this is a part of running for president but i have never seen such ridiculousness,NONE,FAVOR
i worried biden will collapse in the middle of debatehe look not fit to be a president and the whole world can watch it,AGAINST,NONE
i know about the homeless veterans i met one i know that lots of people ended up homeless because it was made possible when rent was so called not required to pay during covid there was no recovering for them and lots of people went homeless theres other things as well even now theres people dying from cancer and they are still trying to work to pay their bills and keep up their rent a year ago this person owned their home and was doing well now that they are sick they spend their life alone sad and worried about getting through wheres the help for someone in this place he has worked in his life he did his part there is no program available to help him at least not close to home in wisconsin,FAVOR,NONE
the debate that sunk the biden campaign,AGAINST,NONE
now we get kamala v trump debate yessss lets go trump,NONE,FAVOR
imagine a world where journalists did their job and people actually took them seriously,NONE,NONE
lets be frank bidens presidency was horrible for the us and the world,AGAINST,NONE
its joever,FAVOR,NONE
everything just went downhill after biden became a president,AGAINST,FAVOR
ill never forget how tangerine man handled covid what a joke that was,NONE,AGAINST
twice the cost of living twice,NONE,NONE
two tacos at jack n the box used to be 1 now its 199 inflation has doubled i wont even get on my increase in car insurance and im considered a senior at 55 and starbucks people in california are homeless because you can work at a job making 85000 a year and still cant afford rent or purchase a home,NONE,NONE
i didnt receive my tax money from joe,AGAINST,NONE
bruh biden speaks like a failed robot experiment,AGAINST,NONE
good job donald trump,NONE,FAVOR
4338 joe went low the lightbulb came on then lol lol,FAVOR,NONE
i dont have my tax money,NONE,NONE
this aged well,NONE,NONE
the biden only one word to describe his performance incompetence 101 the biden beat medicaid,AGAINST,NONE
the debate ended alongside bidens political career,AGAINST,NONE
20 million views now what biden out,AGAINST,NONE
canis mas machoin my judge milian voice,NONE,NONE
the beginning of the end,NONE,NONE
im in tears biden really doesnt look well they shouldve never let him go up there the man is obviously not 100 no one on his team noticed what was going on im 55 and my thoughts are fleeting often so i can just imagine what biden is going through shame on the democrats,AGAINST,NONE
destroying our country we all feel it,NONE,AGAINST
these comments are more entertaining than the greatest comedian,NONE,NONE
brandon has no idea whats going on surrounded by incompetent liars feeding him a fantasy story he isnt checking anything wont watch news gets talked to like a baby,NONE,FAVOR
biden god sees you and your conrads all your corrupt politicians keep lying i pray you ask for forgiveness biden youre will in trouble gods wrath,AGAINST,NONE
he killed biden with this debate now biden is gone and good riddance,AGAINST,FAVOR
who is here after biden dropped out,NONE,NONE
never thought i would say this about anyone in office but biden i dont even know why tf you ran in the first place go trump,AGAINST,FAVOR
you know you are screwed when trump makes more sense than biden,AGAINST,FAVOR
just fight each other already 2 old men trump will win,AGAINST,FAVOR
i think trump is fit for presidency than joe american should vote for the right person,AGAINST,FAVOR
i am watching this debate again after biden dropped out i was waiting for a second debate too bad i cant watch it any longer no more trump vs biden debate better than any reality show,NONE,AGAINST
ive never heard of a politician that i trust so for me i go by results under trump america had a strong economy was prosperous and not involved in wars and wokeism was nowhere near as rampant as it is now under biden america has descended into chaos some states worse than others we are seeing lawlessness the economy is crumbling because people are being even more heavily taxed to fund overseas wars cost of living has gone through the roof america has become a laughing stock and woke nonsense is rife the proof is in the pudding,AGAINST,FAVOR
joe says he lost more jobs than gained during his presidency as if covid had nothing to do with that lol,AGAINST,FAVOR
15k new jobs is not much at all,NONE,FAVOR
joe blieden is just its constant knock knock mutha fka,NONE,NONE
i do feel sadness for pres biden buts its time to retire with dignity people shouldnt mock him we will all grow old,FAVOR,NONE
this is sad like why is joe doing this to himself,AGAINST,NONE
thats a wrap buddy biden checkmate t r u m p 2024 make america great once again 81 million votes biden huh,FAVOR,NONE
everyone all around the world not just only think this biden regime is weak but all knows that biden is the weakest ever known president of america in this history of this country,AGAINST,FAVOR
trump is cunning a smart guy he turned himself a speaker of rage angst hardship helplessness lost hope lost dreams hurt and pain of the people and they buy what he says for its what they want to speak out themselves and what they want to hear as a christian it brings me to tears in what a mess your country is and how the people suffer yes he does what none of those in charge up there have done right but the crisis is not centred nor focused solely on the us its a worldwide one everywhere the exact same disgraceful story going on inflation of money crime poverty joblessness cut offs price explosions frustration leading to disbelief in policies governments etc dearest americans you are not alone in this when you isolate from all the rest of us you will get worse problems than you already have trump is absolutely right in so many points but wrong planet its not planet america i cannot tell i dislike nor disrespect him my heart christian belief restricts me from doing so and i understand you the people absolutely i am not to judge nor point fingers but it needs more than just a good flaming speech moving the masses and emotions i am not an economist but we all know that economy is connected around the globe we have a global economy tightly woven together like the gordian knot every country wants to benefit and oh boy do we have many countries on this planet ask yourselves what youll do if on the long run maga going nada who will you blaim,NONE,NONE
somehow i can only understand better what trump is speaking,NONE,FAVOR
when biden goes over time multiple times doesnt get told to stop or thank you besides a few bit but every time trump does and is finishing a very important exposing sentance he gets cut off,AGAINST,FAVOR
wow im a filipino but i support donald trump for great president of usa,NONE,FAVOR
cant take this anymore senile biden has no idea what he is talking about embarrassing,AGAINST,NONE
the debate that ended bidens presidency,AGAINST,FAVOR
trump was killing people in afghanistan and biden is killing people in palestine both are worse off,AGAINST,AGAINST
how can you vote for biden after this,AGAINST,NONE
president trump is the real one,NONE,FAVOR
why is it always that the new government blames its failure on the previous government,NONE,NONE
im conflicted on the one hand this is elderly abuse but on the other hand its the most powerful person on the planet,NONE,NONE
they pay 82 on taxes says biden but high yeld saving accounts they get 70 of that back,FAVOR,NONE
i swear thats a guy in a mask absolutely nuts,NONE,AGAINST
i love how biden looks shocked everytime trump answers,FAVOR,FAVOR
as a non american this thing is better than netflix hilarious i am so sorry that these are your only options to vote for,FAVOR,AGAINST
honestly i feel bad for boden he needs to retire hes tired and lost let him out on his slippers and watch his show,FAVOR,NONE
biden is just incoherently rambling this is ridiculous,AGAINST,NONE
if only my grandfather couldt see this strange times to be alieve people60 bilion is zelenskys monthly bill,NONE,NONE
he wasted a lot of money of us tax payers for those wars under his administration,NONE,FAVOR
to biden is everything is lie,AGAINST,NONE
im here after joe dropped out the race,AGAINST,NONE
anybody here after biden withdrawal from the race,AGAINST,NONE
go trump trump for president in 2024 058,NONE,FAVOR
after all this it allllll led up to joe biden saying bye bye,AGAINST,NONE
we truly witnessed joe biden political career go downhill in real time81 million votes to dropping out wow,AGAINST,FAVOR
the comments delight,NONE,NONE
im a lifelong democrat and im a veteran i think trump will take care of us veterans as far as our military pensions and service connected pay goes im a democrat who will be voting for trump,NONE,FAVOR
theyre like two very naughty boys explaining themselves to their parents while the cat licks up the milk thats been split way past bidens bedtime,AGAINST,NONE
as a nonus american guys if you need a place to crash let me know we have plenty of space here in europe and you could see where your taxpayers money went over the past few years supporting this war its like watching history,FAVOR,AGAINST
joe biden says idea so much i dont think that he has any idea anymore,AGAINST,NONE
a humble request to the international community to save the common students of bangladesh from dictator murderer hasina murderous dictator hasina is shooting common people like birds to maintain her power please save the people of bangladesh,NONE,NONE
now the 18hole golf tournament against joe biden will never take place it would have been better than any debate on planet earth,FAVOR,NONE
whos here after hearing that biden dropped out of the election,AGAINST,NONE
the day this debate happened seems like everything changed day after day breaking news crazy events unfolding,NONE,NONE
biden immediately starts blaming trump as if the last 4 years didnt happen the left has trained him well,AGAINST,NONE
10531 and by the way,NONE,NONE
whos here after biden dropped out,NONE,NONE
im from nz and ever since sleepyjoe took the office our living situation has been the worst its ever been gas prices food etc,AGAINST,FAVOR
cant cheat his way into the next election goodbye bidden hello trump,AGAINST,FAVOR
the island of marajó ilha de marajó in brasil there are familys with children so poor with no money to pay birth certificates to register their children so please ask for the police to secretly investigate that they are raped and trafficed,NONE,NONE
who is here again after bidens departure,AGAINST,NONE
this debate ended bidens political career,AGAINST,NONE
so sad this is the last trump biden debate i was looking forward to seeing biden degrade further in 2 and 3 in hindsight trump should have gone easy on him to keep biden in the race i dont think itll matter though,FAVOR,AGAINST
joe blinks once in ten minutes,NONE,NONE
america needs a strong president biden cant even put his sentence together if you elect this guy he might die in office of old agebiden simply mumbles america needs trump the world needs trump he deserve a second chance,AGAINST,FAVOR
joe got crushed so hard here that hes dropping out,AGAINST,FAVOR
who is here after he stepped down from being president,NONE,NONE
trump did say he likes guys who dont get caught in war not pow s reference to john mccain trump said in 2016 while running for president said it on a talk show,NONE,AGAINST
whos watching after he dropped out,NONE,NONE
man jeff dunham is doing a great job,NONE,NONE
10529 11321 11524 they keep cutting him off,NONE,NONE
1152 1204 he went off the grid started freestyling,NONE,NONE
they are watching u all,NONE,NONE
question for trump if you dont think about cancer or what was in our shots products and so on then how are u going to help humanity if u dont care,NONE,AGAINST
trump the real boss,NONE,FAVOR
stop making everything racist its the fault of the people who are unemployed single mothers etc take responsibility of your own actions if these people cannot afford these children then dont have them and expect the taxpayers to raise your children,NONE,FAVOR
under biden everything but my salary doubled,FAVOR,NONE
2 incompetence absent minded to be voted as president of americano matter whoever wins america is gameovermy lovely one china is stronger than everemperor xi the emperor of my communist china will always prevail,NONE,NONE
this election is diagousting the biggest counry the most brave and dream contry for so many is today a joke tuled by greedy sick old men terrible just terrible,FAVOR,AGAINST
order peace low prices culture no immigrants freedom of choice electric or petrol cars freedom and respect back to normal life,NONE,FAVOR
2225 brandon just speak to em he called him brandon,NONE,NONE
this is just pure entertainment biden looks terrible though but these guys just continuesly go back to to previous arguments instead of answering the questions that are being asked,NONE,NONE
trump you have open the eyes of the world,NONE,FAVOR
its not really biden vs trump its really biden vs biden biden cant even keep his thoughts and words straight lol,AGAINST,NONE
honestly cannot believe biden got elected i voted at my local voted center im a black republican had my ticket number and my vote was lost in transit because i live in a swing state i highly believe voter fraud occured and trump did win the 2020 election and thats why january 6th even happened in the first place,AGAINST,FAVOR
in brazil the presidential debate was same like that bolsonaro trump and lulajoe biden trump 2024,NONE,FAVOR
biden only defense was the idea we are are not doing anything for insert topic is a lie and he doesnt know what hes talking about,AGAINST,NONE
i dont know how anyone can watch this and continue to support joe or rather whoever is running this country,AGAINST,NONE
joe biden literally started mass incarceration with the 94 crime bill,AGAINST,NONE
wouldnt it be right if similar debates were held between the nominated candidates for the post of prime minister during the election campaigns in india too,NONE,NONE
stay for president president joe biden for president of united state of america,FAVOR,NONE
hope trump is president again i like him,NONE,FAVOR
family need to take biden home poor dear needs a carer and its so obvious his developing dementia plus his at risk of falls and unsteady on his feet,AGAINST,NONE
biden sounds like he is terminally ill,AGAINST,NONE
