comment,stance_llama_8b,stance_trump,stance_biden
i loved when potus said i know you know how to read lol,LIBERAL,PRO,OTHER
our politics are a joke these days,LIBERAL,OTHER,OTHER
i dont see how anyone can hear anything other than empty promises when he speaks all these people hooting and hollering has absolutely no olace in the congress floor what a joke,CONSERVATIVE,OTHER,ANTI
at 4640 joe says wall street didnt build america theyre not bad guys they didnt build it though the middle class built the country and unions built the middle class sounds like joe is attempting to avoid animosity and bring people together here rather than tear people apart like donald does however the fact is that the middle class contributed only only partly to building the us seems to me that the working class and the slave class did most of the work with help from the middle class and also help from rich investors venture capitalists including wall street people all contributed to building the us but at least joe made some attempt to bring us together rather than attempted to make us fear and hate each other by the way im saying this as someone who has been a member of most if not all of these classes of people a factory worker an artisan proprietor of piano service business tuning adjusting and repairing pianos and who having retired has even made a living by as a capitalist investing successfully in corporations ive known and been friends with many people from all these classes of people the united states unlike some other countries is a place where one can move from one class to another or become part of more than one class at a time and where we people can work together with one another rather than fear one another the thing that donald encourages us to do,OTHER,ANTI,PRO
state of the union address but immediately starts talking about ukrainei guess theyre part of the union,LIBERAL,OTHER,OTHER
lawmakers should not be allowed to accept donors money while they are in office its will divide the party lets pass a law to stop this type of work ethics,LIBERAL,OTHER,OTHER
weird how he didnt start his speech with anything positive or of any positive things he has done since being in office no warm american welcome,LIBERAL,OTHER,ANTI
wow this country is done i wonder what the next great country will be,OTHER,OTHER,OTHER
thats an amazing face lift on joes face his eyes disappear more into his face every year,CONSERVATIVE,OTHER,OTHER
when has the right to abortion been on the ballot not in any recent election ive voted in,LIBERAL,OTHER,OTHER
thank you president biden four more years,LIBERAL,OTHER,PRO
yo listen up let me spit some truth bout bidens policies got the world in a noose disrespectin leaders losing allies doesnt know what not to say on a hot mic told bibi come to jesus man that aint cool disrespected peoples faith breakin all the rules so you would think he was cool then laken riley he butchered her name no respect for the fallen its a crying shame bidens apologies aint worth a dime disrespectin everyone at the same time with fist bump diplomacy hes playin it bold were losin allies man its gettin old apologized to a murderer whats that about called him illegal then turned it inside out respect for the law its all gone astray under bidens reign its a darkening day saudi prince called em a pariah state fist bumps aint diplomacy man its just hate losing respect allies turnin away under bidens rule were led astray bidens apologies aint worth a dime disrespectin everyone at the same time with fist bump diplomacy hes playin it bold were losin allies man its gettin old its time to wake up see the damage done bidens policy it aint all fun we need a leader who can stand tall and true bring back respect for me and you so lets rise up make our voices heard demandin respect with every word bidens policies they gotta go we cant wait for trump to take over the show,OTHER,OTHER,OTHER
nobody clapped when he talked about ethnic wage gap,CONSERVATIVE,OTHER,OTHER
this state of the union was a bunch of bull sht,CONSERVATIVE,OTHER,OTHER
the wealthy want to keep the majority of the population poor and needy to be able to control it without money people go hungry and unhealthy starving and unhealthy people have low energy and loose the interest of getting involved in anything the population should unite with those who seek the wellbeing of the people instead of the wealth increase of the few,LIBERAL,OTHER,OTHER
a record high lies in one segment i could list over 50 lies in this speech,LIBERAL,ANTI,OTHER
this has to be a joke all these ppl really are paid actors we are supposed to be so stupid to really think any of this is true or good where are the adults to say this is enough what you are doing is bad wrong and this is over,OTHER,OTHER,ANTI
4 more years the country wont be here what the heck are you dummy talking about,CONSERVATIVE,PRO,OTHER
when i used to live in the usa 36 years ago the minimum wage was 500hour if the minimum wage is now 700hour the minimum wage has only been raised by 0056hour on average during the past 36 years note 700 sek 7168hour sek 1146800month before taxes that is slave wages i get more than that in retirement and my retirement is roughly 55 of the wages i earned when i was working what does that tell you about a 700hour minimum wage,LIBERAL,OTHER,OTHER
these clowns honestly think will just forget all about how they ran this coubtry for the past 4 years smh,LIBERAL,ANTI,OTHER
all the standing up and down and incessant applause was super awkward,LIBERAL,OTHER,OTHER
if you are not a first american you are an immigrant if you demonize all immigrants you are actually demonizing yourself think about it,LIBERAL,OTHER,OTHER
what a joke this guy is,CONSERVATIVE,ANTI,OTHER
2650 hundred percent agree,LIBERAL,OTHER,OTHER
he got bobby kennedys name wrong,OTHER,OTHER,OTHER
phones need to be banned from these chambers theyve never been a part of it before and it should stay that way,LIBERAL,OTHER,OTHER
scream of the union address,OTHER,OTHER,OTHER
what are 3 topics he was talking about,OTHER,OTHER,OTHER
it is the 1 and only job of congress to find common ground for both sides and make things work if the republicans sat thru that speech and couldnt find common ground with any of this couldnt even bring themselves to clap or stand for one thing they arent qualified to do the job we can all fight but its our governments job to help us find the bridges not to burn them and i challenge any republican to name one time in trumps rally speech that reached across an aisle one i can name ten from this speech alone and not one republican representative saw anything accept items they plan to oppose and that gets us nowhere,LIBERAL,ANTI,PRO
what a party,LIBERAL,OTHER,OTHER
someone needs to remind biden what the word literally actually means,CONSERVATIVE,OTHER,ANTI
we as the people of the united states are being played as fools we are being turned against each other so the demise of our country can come,LIBERAL,OTHER,OTHER
clearly trump didnt let mike johnson clap or stand for anything biden said dude didnt even clap for ending childhood hunger or curing cancer what a joke,LIBERAL,ANTI,OTHER
if i was smart i would go home now,OTHER,OTHER,OTHER
more of a political speach than state of the union,LIBERAL,OTHER,OTHER
embarrassing ill tell you one thing theres a whole lot of silent americans in hills and hollers that will die for this country,CONSERVATIVE,OTHER,OTHER
go crawl back ito your hole biden,OTHER,OTHER,ANTI
the reality in united states have so many racism issue white american will lost their political power around 2025 year later united states will get hispanic 1st president in united states around 2025 year later in 2024 census white american decrease to 535 only china will take the united states position in the world when white american lost their political power in united states lost control in united states military economy,OTHER,OTHER,OTHER
worst president in history joe dumbdumb biden,CONSERVATIVE,OTHER,ANTI
remember the summit where trump and putin were alone for two or three hours plotting invading ukraine,LIBERAL,ANTI,OTHER
what did mtg shout at 10938,OTHER,OTHER,OTHER
the top of the food chain clown show,CONSERVATIVE,OTHER,OTHER
this country needs people working in the government system work for the country not for their party since the later 1990 to now each time the democrat hold on the power they ere destroying their country foundation they are creating so much depth for the country,CONSERVATIVE,OTHER,ANTI
this leader have no shame and its people the evils to deal with no shame people has to uses the animal ways to respond or to do,OTHER,OTHER,OTHER
no more years,OTHER,OTHER,OTHER
let me clear my thoughts,OTHER,OTHER,OTHER
i believe mike johnson is gonna vote for biden he was nodding in agreement an awful lot,LIBERAL,OTHER,PRO
this speech was nothing but lies and deceit real eyes realize real lies,LIBERAL,ANTI,OTHER
this wasnt a state of the union address this was a campaign speech,LIBERAL,OTHER,OTHER
whos the lady that enters with biden at 1724 ive seen her at past speeches as well and always wondered,LIBERAL,OTHER,PRO
121 im glad that in a show of unity for the safe return of the israeli hostages both vice president harris and speaker johnson gave president biden a standing ovation when he pledged to bring them home,LIBERAL,OTHER,PRO
im just now watching the full speech its way better than the clips i think this is the best state of the union i have ever watched he talked about all issues that mean the most to us regardless folks thats beautiful speech just beautiful,LIBERAL,OTHER,OTHER
4106 bro shook his head,CONSERVATIVE,OTHER,OTHER
not a person in that room pumped their gas or bought there oun groceries,LIBERAL,OTHER,OTHER
what kind of speech was that,LIBERAL,OTHER,OTHER
1984 big brother speech,CONSERVATIVE,OTHER,OTHER
the next state of the union will see the other side sitting down with angry faces except theyll be booing like children the whole time,CONSERVATIVE,OTHER,ANTI
makes me sickall you commis,CONSERVATIVE,OTHER,OTHER
treasonous all of you who applause,LIBERAL,OTHER,OTHER
i heard he was on fire this is elder abuse,CONSERVATIVE,OTHER,OTHER
shouldnt he just say this country is destroyed,CONSERVATIVE,OTHER,OTHER
i dont understand how this man can continue to gaslight and lie to the american public things are not ok we keep adding 1 trillion to the deficit every 100 days under bidenomics were inflating at 14 a year not 3 this man is destroying this country,LIBERAL,OTHER,ANTI
biden is ukrainian patriot because ukraine made his family rich and out of 160 million registered voters trump will receive 85 million and biden will get 95 million while conservatives are creating goods industries science agriculture democrats are into politics legislating and indoctrinating the youth in marxists ways 2024 choices 1 cosa nostra elder or 2 patriotmartyr 3 rfk jr,OTHER,PRO,ANTI
brandon said he wants the soul of america wwg1wga,CONSERVATIVE,PRO,OTHER
the speaker was powerful he delivered the truth he deserves our respect and support,LIBERAL,OTHER,OTHER
mike johnson is a turd he must be in pain from holding that stupid look on his face for so long,LIBERAL,OTHER,OTHER
nancy sure has aged what was she even doing there,CONSERVATIVE,OTHER,OTHER
at what point does this start,OTHER,OTHER,OTHER
support union jobs bet u youve never heard of the keystone pipeline,CONSERVATIVE,PRO,OTHER
what a disgrace to this great country fjb,CONSERVATIVE,OTHER,ANTI
same state of the union speech third year in the row,LIBERAL,OTHER,OTHER
that should of had a ice cream party,LIBERAL,OTHER,OTHER
repeated lying over a 100 unintelligible examples of slurring more if you could actually make out his diction through his slurring actually mispronounced a womans name while holding a badge with her name on it biden is a national disgrace,LIBERAL,OTHER,ANTI
from an independent voter strong state of union stop standing dems your boy did good,OTHER,OTHER,OTHER
joe biden is low key avoiding the minorities as he walks down the aisle,CONSERVATIVE,OTHER,ANTI
starts at 2635,OTHER,OTHER,OTHER
brilliant me president,LIBERAL,OTHER,OTHER
biden shouldve had a plan on may 11 2023 people are suffering when he removed the covid policies kicking people off of medicaid and ssi dropping peoples snap benefits in the middle of inflation so disappointing,LIBERAL,OTHER,ANTI
1 trillion every 100 days people wake up good god how long do u think thia countey can keep doing that untill the bubble pops yet they keep sending more to ukraine and illegals get free everything this has to stop,CONSERVATIVE,PRO,ANTI
biden sounded like an angry old man shouting to try to prove he is alive he is such a disgrace to this country fjb trump for president in 2024,CONSERVATIVE,PRO,ANTI
lies is all it is,LIBERAL,OTHER,OTHER
i dont understand why majority of americans cant get with what the president is saying and proposing the funny thing to me is when democrats finally get these policies passed head start minimum wage family leave there are more ppl in red states that benefit from these policies the most but there representatives vote against them how backwards is that why ppl vote for republicans who vote against there best interests someone explain this to me,LIBERAL,OTHER,OTHER
ask new york or chicago if they want more illegals coming to there cities all i can say is they got what they voted for,CONSERVATIVE,PRO,OTHER
all that bill will do is rush illegials in the us quicker im sick of my taxes getting higher to pay for illegials to get everything free,CONSERVATIVE,PRO,OTHER
you wont be able to stop trump biden you will be parked in a nursing home somewhere where they are hiding your meds in your applesauce,CONSERVATIVE,OTHER,ANTI
if you notice mike johnson isnt shaking his head yes or clapping lol,LIBERAL,OTHER,OTHER
biden couldnt draw a crowd like that this is as fake as it gets,CONSERVATIVE,OTHER,ANTI
why is the supreme court in the front row they dont represent us the american people,LIBERAL,OTHER,OTHER
yea they just showed the whole room nope that is not real probably ai generated,LIBERAL,OTHER,OTHER
so funny to see mike johnson sitting in the background shacking his head at things he does not support,CONSERVATIVE,PRO,OTHER
i doubt very seriously that there are that many people in that room either,LIBERAL,OTHER,OTHER
clapping kamala what a joke she is,CONSERVATIVE,OTHER,ANTI
what a liar biden is the biggest liar i have ever seen most every word out of his mouth is a lie i will be so glad when trump gets back in office and cleaned up this idiots messes gets rid of all these illegals yea thats one truth he told history will be watching and it wont be kind to biden or his cabinet it hard for me to believe all he has destroyed but thank god president trump will get it right he had a lot to clean up i hope to see these people in prison where they belong and the media with them biden surely you dont honestly think you can win lol,CONSERVATIVE,PRO,ANTI
go watch robert kennedy jrs version of the state of the union i implore you he wanted to run as democrat but wasnt allowed to because hes too honest for the sake of the sponsors this video is nothing but a sponsored ad,OTHER,OTHER,OTHER
snile old man is on adderall to deliver this trash state of the union address through teleprompter,CONSERVATIVE,ANTI,OTHER
sotu address actually starts around 2645ish,OTHER,OTHER,OTHER
lincoln riley how embarrassing,CONSERVATIVE,OTHER,OTHER
54 minutes bring inflation down landlords shouldnt gouge renters but if the government gets there paws on the process im sure the government will be the only ones who benefit and once a home is owned outright why are people required to continue to pay property taxes year agter year on something they already own,LIBERAL,OTHER,ANTI
when he speaks loud it makes the lies easier to swallow well its suppose too,LIBERAL,ANTI,OTHER
you have destroid the middle class joe,CONSERVATIVE,OTHER,ANTI
he such a slime ball they will do nothing all the programs the say they will create new infrastructure is just a way if getting more but will do none of it just like the railway that ca recieved and built nothing spend our but do nothing,LIBERAL,OTHER,ANTI
everything he says believe the opposite this is nothing but campain hageling he has done nor will he do anything,CONSERVATIVE,OTHER,ANTI
biden has had the father of a marine who was killed in action arrested for heckling the president at the state of the union address this year steve nikoui 51 was arrested on a misdemeanor charge of crowding obstructing or incommoding after repeatedly yelling abbey gate during the presidents speech abbey gate is the entrance to hamid karzai international airport in kabul afghanistan where a 2021 suicide bombing killed 170 civilians and 13 us service members including lance corporal kareem nikoui both mr nilotic and his wife both blame biden and his utterly careless and rushed afghanistan withdrawal for their sons death this man has sacrificed his son and now has been arrested for heckling this dolt of a president bidens actions are utterly disgusting he deserves the contempt of every service man every member of their family and every american who supports the us military,OTHER,OTHER,ANTI
mike johnsons smirks speak volumes on the great divide his group of extremists pale in bidens presence,CONSERVATIVE,OTHER,PRO
but joe you really lost,LIBERAL,OTHER,ANTI
but joe you really lost,LIBERAL,OTHER,ANTI
just to let yall know under the constitution it is treason to give aid to your enemies the government has been committing treason over and over iran and gaza also many others,LIBERAL,OTHER,OTHER
this fool has no idea about economics,CONSERVATIVE,OTHER,OTHER
im no fan of biden or trump but marjorie greene is out of pocket she shouldnt be in there with political insignia on as a rule then she interrupts real classy,OTHER,OTHER,OTHER
