comment,stance_llama_8b
dont give up joe run for reelection,LIBERAL
sounds like the apocalypse and the tribulation is coming faster than what i thought awesome so its been written russia then china then america and nobody can stop it were right on track and full speed ahead is ticking on israel and america sweet dreams every one,CONSERVATIVE
joe gotta go worst president in the history of the world,CONSERVATIVE
mike johnson looks sick to his stomach,CONSERVATIVE
this guy just compared our current political debates to the beginning of world war ii remember that we were drawn into world war ii because japan attacked us fdr had been trying to goad america into the war long before thatwith the help of british propagandistsbut thankfully the american people saw through it and wouldnt permit it before that pointbut who the heck have we been attacked by now putin nope illegal aliens yesbut biden effectively took their side in this speech biden effectively declared war on half of america for no other reason than because that half of america has legitimate political views and concerns that oppose his own this should chill every american to their bones,CONSERVATIVE
britt is done what a loon,CONSERVATIVE
how can all these people clap and hug this guy oh nvm they get millions of dollars back from him,CONSERVATIVE
my country feedback usa todays especially important film offering masada masada is an american television miniseries that aired on abc in april 1981 advertised by the network as an abc novel for television it was a fictionalized account of the historical siege of the masada citadel in israel by legions of the roman empire in ad 73 the tv series script is based on the 1971 novel the antagonists by ernest gann with a screenplay written by joel oliansky the siege ended when the roman armies entered the fortress only to discover the mass suicide by the jewish defenders when defeat became imminent internet search,OTHER
biden tried proving at the state of the union that he was up to the job he just proved he was a jerk,CONSERVATIVE
my undies just got soaking wet thanks fox news,CONSERVATIVE
ill be a disgrace if trump becomes president again after he tried to steal the results in 2020 and 91 criminal charges now one of his best friends is viktor orbes the hungarian dictator people what are you waiting for to see the reality,CONSERVATIVE
amazing watching speaker of the house nodding at mostly all of the topics biden was talking about,CONSERVATIVE
dont bother watchingi did its just an angry old man calling half the country enemies,CONSERVATIVE
hes a birdbrain,CONSERVATIVE
political violence on january 6th give me a break the political violence from the aggressive rioters was way worse on so many levels,LIBERAL
we are a republic not a democracy and we need to help are homeless and are fellow americans before sending any more aid to anyother country if need be we need to leave nato and go back to being a neutral country like we were before world war 2,CONSERVATIVE
shouting to try to demonstrate some thoughness and sanity all a facade in reality he is nothing more than a corrupt and senile old guy a puppet what a sad sight,CONSERVATIVE
he starts speaking at 929,OTHER
i watched the speaker of the house the whole time,CONSERVATIVE
more like the state of lies i cant believe people are literally clapping and applauding a leader that is aiding another country that is committing a genocide this is just awful and sick,LIBERAL
why in gods name did biden guve 58 billion and release rheir most heinous cruminals to iran week later hamas financed for the israeli massacre he is devil truly actions speak reams on this man pure evil,CONSERVATIVE
we need to responsiblty have a leader who can speak eloquently a leader who has clean record regarding china and other countries biden needs prosecution on many levels,CONSERVATIVE
term limits this is sad result of carewr politicians vote term limits,CONSERVATIVE
this fruitcake self sank his ship,CONSERVATIVE
why did not conservatives swarm this disturbing event to vocalize seems only marjorie tayloe had gumption to,CONSERVATIVE
what an embarrassment to america he appears to have his caregiver promoting him did not honor recent young lady who was brutally murdered because of joe bidens loosey goosey illegal migrant laws its outrageous,CONSERVATIVE
such a weak impaired man cannot believe he is allowed to continue,CONSERVATIVE
love fox news coverage close ups and comments turned on thank you for your professional journalism live and honest reporting,CONSERVATIVE
u will eat z bugs,CONSERVATIVE
state of confusion,CONSERVATIVE
yes but u are not smart we all know that,CONSERVATIVE
dam that katie brittthe psycho shiftyness was the only thing natural about that weird bs,CONSERVATIVE
trumpiebooboo doesnt have a chance,LIBERAL
we can not have equality for everyone while denying all rights to a whole group of human beings here in america children in their mothers womb it is possible and crucial to love both mother and her preborn child,CONSERVATIVE
its called conspiracy when people other than politicians get together to talk about furthering criminal activities,CONSERVATIVE
this guy looks more like a infant than he looks like the leader of a country smh america wont survive one more term with him lol his supporters cant even get it right that says a lot about his whole regime,CONSERVATIVE
lol mike johnson trying to hide his clapping under the desk is gold,LIBERAL
the kitchen table the gop response just couldnt resist could they democrat and republican they all make reference to this idealized table where rich political discourse met mashed potatoes and gravy ah to live in mayberry again a town where platforms met policy check that most post war homes had little more than 1100 square feet not nearly enough for an eatin kitchen and moms pot roast she always burned it anyways the hell with it what do you say we post some tiktoks,CONSERVATIVE
investing in all americans is code speak for increasing taxes on the middle class to give more free money to the nonworking class to worsen inflation and make home ownership and retirement increasingly impossible this traitor needs to be replaced,CONSERVATIVE
your comment is worthless if you havent watched the video,OTHER
nothing covered on state of the union campaign pep rally comlete with trained 4 more years chanting s,CONSERVATIVE
you know its really sad that kamala was the first lady vice president of the us it feels like it was wasted on her,CONSERVATIVE
tiktok has become a political brainwashing tool for the chinese government when the chinese government prohibits the people from speaking none of you have come forward to oppose the chinese government no one called the chinese government official either if you all have the courage to stand up against the chinese governments monopoly and manipulation of tiktok perhaps we can save tiktok,LIBERAL
only place joe can receive applauds is the far left and democrats,CONSERVATIVE
he reminded me of watching the comedian lewis black,CONSERVATIVE
hes such a clowm,CONSERVATIVE
timestamps please,OTHER
what do you reckon the physicians have him hopped on this president on a normal day cant walk five steps or talk for more than five minutes,CONSERVATIVE
did the poor excuse for a president just threaten the supreme court justices what the hell is going on with this guy,CONSERVATIVE
liar in chief spewing more falsehoods as always,LIBERAL
the democrats are a joke,CONSERVATIVE
dark brandon at its best should the scotus give potus immunity,CONSERVATIVE
turning setback into growth is that bible plagiarism,LIBERAL
despite all of this overwhelming good news i think we are very near to anarchy me,CONSERVATIVE
biden did well despite many wanting him to slip up republicans wouldnt even clap for important issues the former presidents puppets are weak and holding us back,CONSERVATIVE
ill be a president for all americansexcept the people who disagree with metheyre stupid maybe if he liked kennedy so much he should just step down and let rfk be president or at least debate him,CONSERVATIVE
joe broke the record for the most lies in a state of the union,CONSERVATIVE
we should have played the kamala pop up drinking game every time she stands and claps smugly we all take a shot we would have all sounded like biden by the end,CONSERVATIVE
dark brandon in 2024 any questions,CONSERVATIVE
first incumbent president to lose plate primary in 44 years,CONSERVATIVE
americans are not falling for the scare tactics that the republicans and fox are pushing biden 2024,LIBERAL
great speech and a great and dynamic presentation it is being taken as a call to all americans to take action using all their wits and resources to ensure that the failed insurrectionist and disgraced former president and his allies will never again hold public office and that the disgraced former president will be held accountable for his crimes,CONSERVATIVE
usa is doomed if we have 4 more years of this,CONSERVATIVE
i commented on a bunch of your comments to try wake you guys up that fox news has been lying to you my comments have been deleted,CONSERVATIVE
thanks you mr president,LIBERAL
biden the clown n obama the liar whata team,CONSERVATIVE
sadly the world watched this idiot spew his ridiculous lies,CONSERVATIVE
tell me where these new jobs are so i can apply,CONSERVATIVE
leave putin alone quit expanding nato that was the agreement that was made many years ago between russia and nato russia didnt want any nato countries bordering russia nato has expanded to the east 5 or so countrys,OTHER
dont people see who he really is wake up humans,CONSERVATIVE
a 21 increase in corporation taxes increase what we pay for every product at the register by 21 do people and biden not know that when you raise corporation taxes you raise the pricetax americansconsumers pay at the cash register on every product we buy when you increase corporation taxes,CONSERVATIVE
i love how trump went to his truth social and blasted biden on talking all the credit on the covid vaccine trump says he deserves all the credit for saving american lives by getting the vaccine push through by means of warp speed everyone should thank trump,CONSERVATIVE
im sure you noticed nearly all the republicans refused to shake his hand,CONSERVATIVE
1 to speak that way to scotus my anger is now quiet you have left me speechless on this one no words could convince you hoe wring you are what will you do next intimating scotus wow 2 wasting all our time at entering to show his popularity to thise of us who disagree biden has no class 3was that joe manchin which biden snubbed fast 4 what a glorious display followed by screaming and screaming then insults i certainly do see parallels between nazis and this group,CONSERVATIVE
think we know now whose cocaine was found in the wh,CONSERVATIVE
one thing bidens state of the union speech proved it proved he is competent enough to be impeached and criminally charged for illegally taking classified document,CONSERVATIVE
oh we will all be treated equally thats for certain every single one of us will be oppressed under your communist state,CONSERVATIVE
all good katie just missing some policies and proposals on how to support families and retirees what exactly is the gops plan,CONSERVATIVE
he cant find the stage,CONSERVATIVE
great speech sleepy joe stunned the republicans mentioned partisan maybe 6 times especially on the republican border legislation that the republicans are scared to send to congress for a vote,LIBERAL
can you say crazy old lying man hopped up on adderall lies lies lies and more lies,CONSERVATIVE
this is like police academy,CONSERVATIVE
biden didnt pay taxes on his overseas corruption schemes,CONSERVATIVE
hysterical,CONSERVATIVE
so many absolute morons in these comments your gop is in free fall and its delicious to watch,LIBERAL
can someone take him to the old folks home and get his diaper changed,CONSERVATIVE
dont you love how trump lives rent free in the minds of all the dems,CONSERVATIVE
chuck amd nancy are too thrilled to hear the liesthey grind their teeth as they clap weirdos,CONSERVATIVE
he looks very strange and pelosi looks like shell pee herself with joy,CONSERVATIVE
disgusting liar in chief,LIBERAL
how does joe define a woman in his domestic violence bill as usual joe misquoted trumps get over it there was more to the statement that joe left out wheres his office of misinformation on this instead of banning so called assault weapons btw what is your definition of an assault weapon how about harsher penalties for those that use a gun to commit a crime responsible gun owners dont shoot people except in self defense no gun has ever killed anyone the person handling the gun is the one that kills the reason our trade defect is low with china is because of trumps tariffs the reason chip manufacturing in back in the us is because of trump he did the ground work to get the plant built in ohio,CONSERVATIVE
worst president in history,CONSERVATIVE
the most ridiculous response ever the way of speech was dramatic and childish,LIBERAL
you cant love your country only when you win does this idiot and his entire democrat party not remember the previous term and their hate give me a break,CONSERVATIVE
the one who tells the truth about ukraine is robert kennedy jr what a bunch of warmongers,LIBERAL
uniparty,CONSERVATIVE
jan 6th darkest of days 20142019 mostly peaceful lick my nuts biden,CONSERVATIVE
he slurred from the very beginning,CONSERVATIVE
after all the crap is happening he still talks about defending democracy bizzare,CONSERVATIVE
a speech fettered with bald faced lies,CONSERVATIVE
if biden doesnt like guns than take them away from your secret service,CONSERVATIVE
someone please point out the 180 degree change of stance he has on the police now,CONSERVATIVE
he sure slurred and stumbled through that angry divisive speech,CONSERVATIVE
such a liar he taught the 2nd amendment for 12 years really they hopped him up on drugs and he still cant speak,CONSERVATIVE
propaganda of the union 2024 haha,LIBERAL
this reminds me of the old film witches the bit where the grand witch addresses the other witches,OTHER
what an evil little man satan incarnate,CONSERVATIVE
hahahahahaso much fun reading the comment section you can tell the cult are rattled butbutbutsleepy joe cant give speecheshes too old and confused these facts are hurting we prefer the orange idol dumb down speechso we can understand,CONSERVATIVE
democrats are so vile and stupid,CONSERVATIVE
its truly a mystery those that clap and scream for him have they been living in another country that didnt have a radio or television or internet biden thinks the affordable care act is good heres the problem almost no doctor hospital or lab will accept it and its expensive,CONSERVATIVE
marge is such a pig,OTHER
even if you want to believe biden is not good for one reason or another trump definitely doesnt compare to biden when giving a speach trump just rants and has no vision except his own the only thing he rants about is how bad he has it when thousands of americans have it worse and he hasnt come up with one new thing that he wants to do for this country so all of you that support him here is my vision support your man and go broke doing it because thats exactly what he wants and hopes you do,CONSERVATIVE
the biggest phony in my lifetime just ahead of barrack,CONSERVATIVE
the biggest threat to democracy is the democrat lie about the jan 6 protest the capital police were actually opening doors to allow protesters in to the capital and escorting them thru,CONSERVATIVE
yes the american dream is a nightmare because of trump,LIBERAL
is this a state of the union address or a campaign rally looked much like a violation of the hatch act to me,CONSERVATIVE
i loved how katie britt told it like it was about crooked slow joe biden,CONSERVATIVE
if this continues we are doomed,CONSERVATIVE
when the gov is trying to support adderall for the elderly,CONSERVATIVE
bro isnt worried about the future because he isnt going to be a part of it,CONSERVATIVE
you were on fire lets try to be cool with mania or stupid,CONSERVATIVE
what a,CONSERVATIVE
we are a republic not a democracy this man his pills be slippin,CONSERVATIVE
too much talk no action,CONSERVATIVE
is that u joe the botox working for u old 81 yr skin tuck it in take a nap dont for get keep your depends on,CONSERVATIVE
the predecessor 2024,CONSERVATIVE
204 that congress woman from georgia is a national treasure marjorie taylor greene look how she defended the woman who was killed by alien criminal and bidens expression,CONSERVATIVE
bring the orange guy back,CONSERVATIVE
you know this man dont give a f about the us when the opening speech is about urkaine,CONSERVATIVE
as allen mccurdy stated in his keynotes for the third party national convention in 1920 after years of secret slavery the republican party and the democratic party come out into the open and reveal to themselves and to the nation as nothing but the right wing and the left wing of the same bird of prey then theres the old adage that if you are not part of the solution you are part of the problem republicans none of you deserve brownie points or respect from your constituents for doing what you did sitting and making frowny faces and shaking your heads while this narcissistic megalomaniac told one glaring lie after another and disparaged my predecessor whose name the coward couldnt say who was he even referring to it couldve been any former president really or a member of congress for that matter we know it wasnt president trump as it is a fact that president trump did not say that russia could do whatever the hell they want but obama was caught on a hot mike making secret promises to putin,OTHER
dear third party voters rfk jr independents libertariansplease for the love of country vote support trump this upcoming election the current administration is hoping those fleeing biden those middle roaders disliking trump will vote 3rd party rfk jr indys libertariansplease endorse trumpas much as people may want rfk jr as president it just wont happen no third party has ever came close this election has way too much to risk at this juncture the usa you want is the same or very similar to trump maga ideology if we do not stand united the biden admin their insanity will reek more havoc to a point where the usa as weve known it will be no more heres how i currently see things id rather vote have an idiot with policies that work for the american people in lieu of an idiot with policies that are against the american people people leaving the left because of their insane policies are the exact reason why people did not vote for them in 2020 we on the same pageso lets unite,OTHER
mr speakerthe head sniffer of the no longer united states,CONSERVATIVE
it looks like a retirement home,CONSERVATIVE
mumbling fool,CONSERVATIVE
he slaughtered the republican party their talking points about the border crisis has been buried if anyone votes for trump at this point cant be saved,CONSERVATIVE
well that sotu was methed up,CONSERVATIVE
im about to puke at the disgusting crimes against american taxpayers this man has done and lies barefaced about it,CONSERVATIVE
maga sucks at the test of america,CONSERVATIVE
republicans vote for open borders,CONSERVATIVE
i wish i knew what kind of drug theyre giving this guy hes going from completely out of it to somewhat lucid,CONSERVATIVE
how many humas murderers crosses our open border nobody knows but guarantee their here,CONSERVATIVE
grand slam bless you president biden you earned my vote sharp as a tack,LIBERAL
830 is when the speech starts,OTHER
honestly joe looks just like walter on the jeff dunham show only joe is the real dummy with obamas hand shoved up joes butt and moving his lips,CONSERVATIVE
nice try joe but we dont trust or believe you,CONSERVATIVE
get rid of biden,CONSERVATIVE
a idiot is born every minute and joe used enormous amounts of minutes to become this big of a idiot,CONSERVATIVE
meanwhilewe in texas are making our schools safer not you biden,CONSERVATIVE
the republicans are supporting communism whats going on here booooooooooo gop,CONSERVATIVE
just because you spew lies does not make them true god help us,CONSERVATIVE
bobblehead mike nods up and down he concurs in agreement yet with a republican frown we know biden is right and mike knows so his sloth bobblehead nod let us know so bobblehead mike nods up and down in total agreement with all biden sounds a sound bite here a sound bite there yes yes and yes bobblehead mike declares if mike was a bike hed be treading deep for hes in trouble when trump does speak hell call him bobblehead mike yes hell steal my words cause all trump is is a giant chunk of orange turd f all of yall on fox cuz yall eat orange turd for breakfast out of fear my dears,OTHER
read by 3rd grade its quite late by then,CONSERVATIVE
so by staying and not going home is he telling us hes stupid,CONSERVATIVE
ok mr president just listen to my words slowly and you will be fine,CONSERVATIVE
this was a campaign speech,CONSERVATIVE
lets go brandon,CONSERVATIVE
5005 im confused he says his team developed a by patrisian deal when they bood it was oh u hate the rep bill they put together then explaines why its good once the cheer starts it was his credit so which is it rep deal or his good or bad,CONSERVATIVE
lies lies lies he is a corrupt criminal that has been destroying this great country all he spoke were lies lies lies shut the border down now all the americans that have died is because you and the left their blood is on your hands worst president ever,CONSERVATIVE
its much better to watch from the fox seats vs cnn how do thoae libs live with themselves they think biden is the best thing sinceuh all electric cars,CONSERVATIVE
good morning sir please to meet you today keep it and going on sir,CONSERVATIVE
when did he teach the second amendment for 12 years,CONSERVATIVE
why was that man arrested yes arrested for speaking out against the marines that were killed,CONSERVATIVE
biden is trash worst president ever,CONSERVATIVE
it would be a historic day to see the first american president to go to prison for treason and corruption,LIBERAL
when me as a senior reach a certain age time to go he to old for that postion and he frailspeak the truth shame devil do better fine a young man who can just move faster my lord help us jesus amen that settle it in heaven on earth and be safe amen amen,CONSERVATIVE
im yet to see a state of the union that was just an election speech,CONSERVATIVE
that is such a weird behavior in the beginning,LIBERAL
so is the blm riots the antifa and fbi agents that were proven to have pushed people into the capital are what exactly thats not political violence and a blatant insurrection but some people walked around the capital when they were let inside after antifa pushed the gates down and ran to the door and thats an insurrection right,CONSERVATIVE
total political rally and the only one hell ever have because these are the only people that cheer for him ever put them in front of a crowd and all theyll do is heckle him which is why he will never do any type of rally,CONSERVATIVE
is this for real im cutting the deficit by another trillion dollars by making corporations wealthier,LIBERAL
he would have been better off saying how he single handedly destroyed this country,CONSERVATIVE
these reps chewing gum vulmiting experience,CONSERVATIVE
you can tell the bigger lies by kamala harris standing to applaudhow do you know when biden is lying hes talking,CONSERVATIVE
since when do you socialize before a state of the union address and wires everybody bending over and talking to him like hes a little kid oh thats right because he acts like one i thought he was going to walk in with an ice cream cone,CONSERVATIVE
protest civilians in gaza the way we did in japan in wwii,OTHER
i really didnt hear the state our union is in but just a lot of yelling at us americans that see through this admins bs,CONSERVATIVE
hunter pay your fair share,CONSERVATIVE
this was not the state of the union address it was more like a campaign speech biden i dare you to get up and debate with president trump i dont think you can do it because youre worthless weak,CONSERVATIVE
welcome to good house it ukraine and usa,CONSERVATIVE
what a bafoon,CONSERVATIVE
who cares about lower prescription costs when we are being invaded with millions of people getting free money food and places to live that are rasing are taxes we already are losing half our pay checks to taxes lower cost on prescription dont matter if our country gets destroyed by a 3rd world war or we are killed by migrant crimes get your priority in order joe people arent as dumb as you think,CONSERVATIVE
the reptilian next to the speaker exposed herself a few times during jeckyl s speech,OTHER
recorded clapping cuz who in their right mind would clap for byeden,CONSERVATIVE
whatever they pumped biden full of for this speech i want some,CONSERVATIVE
a huge asset president joe trumpstomper biden has is his opponents underestimate him just like hes done before trumpstomper biden came out of his corner landing one hard punch after the other crowding the gop against the ropes and pummeling them he ended up toying with them like that time sugar ray leonard faked the big exaggerated windmill windup with one hand and then punching roberto duran in the face with his other hand republicans cant say we did this or we did that because they stopped trying to make things better in america years ago all they want to do is argue and hurl insults help russia bring down a us president and stare at photos of hunters club look who their honored guest was george santos there are no republican fingerprints on the new firetruck new health clinic modernized water treatment plant new clerk of the courts office or many other projects in my district making things better thanks to joe biden republicans declined a chance to share credit for bringing broadband to the rural area where i live or to fix the roads i drive republicans dont want to lower prescription drug prices help more people get health insurance help families with the child tax credit or give relief to victims of predatory lenders instead republicans threaten my social security republicans want to defund the police make sure crazy people can get ar15s and prolong the border crisis,OTHER
its hilarious that all the sudden biden claims to be worried about the border when this problem started 5 years ago all the sudden now hes worried right before the election what a joke a political farse,CONSERVATIVE
he gave a coherent intelligent speech and gave people hope and at least attempted unity didnt ramble on about nothing contrast this with trumps vile lie filled semi coherent ramblings that are filled with hate bigotry divisiveness and lie after lie the contrast is startling,LIBERAL
my boy joe nailed it what happened to the right can any explain it cant be the abortion issue because they care leas when a mom tosses a baby in the dumpster often alive on a hot day i mean what has your party so out aligned with realityits amazin wooo,LIBERAL
how can the leader of america stand up there and lie to the american people the people in that room know he is full of bs most people at home watching also know he is full of crap some people at home are watching with a blanket on and candles lit because they cant afford their bills due to bidenomics thanks joe for taking half our paychecks to give it to aliens that hate us and wish us harm and contribute nothing to society but waste,CONSERVATIVE
what a waste of time watching this,CONSERVATIVE
hunter gave too much of his stash,CONSERVATIVE
biden said he believes in freedom and democracy core values like honesty decency dignity equality and respect and that other people his age see it differently way to lose the votes of us seniors,CONSERVATIVE
he say bunch of lies last night on thursday night,CONSERVATIVE
old people yell a lot,LIBERAL
biden and trudeau should be sent to an island prison both criminals,CONSERVATIVE
how many clones do they have of this guy lol why cant he debate trump if he can talk like this why doesnt he sound like the other 95 of the time if you cant debate your opponent you damm sure cant protect this country from other countries that hate us,CONSERVATIVE
biden foolish old man im surprised he could stay awake,CONSERVATIVE
i tried watching this video but i cant this man is such an asshat he opens his speech by talking about a foreign war we have no business funding i dont know if hes the worst president in history but hes got to be top 3,CONSERVATIVE
not 45 minutes into the speech of lies his dose of amphetamines is starting to running out he begins stumbling and slurring words,CONSERVATIVE
in my lifetime 64 yrs now i have never heard during the state of the union any president taking up time speaking about their predecessor none the less deciding them disgusting,CONSERVATIVE
harris is an amazing leader what the hell are you talking about brandon,LIBERAL
i had to turn it off i cant stand even looking at that idiot,CONSERVATIVE
what about freedom of speach,CONSERVATIVE
the authors of the constitution never meant for politicians to make a career in congress thats the biggest problem we have in americas government,CONSERVATIVE
ok fauxnews do your best to report the news not greet fined another half billion dollars,LIBERAL
katie britt i salute you after this biden circus gggrrrr,CONSERVATIVE
the white house where residents feel like presidents,CONSERVATIVE
but he said the most correct if not the only accurate thing he will say during the entirety historyiswatching and so is god,CONSERVATIVE
this is supposed to be the state of the union not the state of the ukraine,CONSERVATIVE
i found it very hateful and i dont know what drugs hes on but thats all hes doing is screaming and lying and thats my opinion,LIBERAL
what the hell did they give him before coming out hope it wears off before bed time hes got to be on something extremely strong yelling and screaming angrily other times not so much sotu has taken on a very dark and ominous tone wow,CONSERVATIVE
from what i see in this circus president putin has nothing to worry about,CONSERVATIVE
ive never seen so much evil straight from hell in one room,CONSERVATIVE
some women should not wear white,LIBERAL
another perfectly appropos opportunity to use one of my favorite elf quotes you sit on a throne of lies,CONSERVATIVE
did anyone notice he signed hr40 just before they cut the stream you werent paying attention were you hr40 gives 12000000 to study the effects of slavery for reparations,CONSERVATIVE
i believe this is the most people that have ever showed for a biden rally,CONSERVATIVE
what a total joke,CONSERVATIVE
i cannot believe that i used to be a democrat i do not stand for anything this man or the democratic party stands for the only thing i feel theyre doing very well is destroying our beautiful country god help us,CONSERVATIVE
joe sounds like he hit a line of cocaine that was found in the white house,CONSERVATIVE
they gave him the red pill from super pill from limitless cause he is never this sharp,CONSERVATIVE
he sees a future where we continue to send all our tax dollars overseas instead of helping our own people treason,CONSERVATIVE
why the hell is nagging nancy pelosi there what is her title again,CONSERVATIVE
most of what he said was pretty based regardless of how mentally unfit he is,CONSERVATIVE
watching them clap for brandon makes me sick to my stomach you dont clap for the man who has ruined our country and destroyed everything the troops fought for 20 years when he pulled out,CONSERVATIVE
a threat to democracy is a weak incompetent president like joe biden who has allowed thousands upon thousands of deaths in the us he says that legals are killing eachother but yet he has done nothing to stop that either like what get him out of here seriously he has to go,CONSERVATIVE
andleave alabama out of this malarkey,CONSERVATIVE
we are taking water and tossing it on fires outside our country while our fire burns more violent every day focus on the american people and our needs first,CONSERVATIVE
god just look at camila bro she is literally waiting for the opportunity for joe to pass away so she can step in and run this country down to the ground even more,CONSERVATIVE
500 billion dollars that will go back into their pockets,CONSERVATIVE
i just threw up in my mouth a little,CONSERVATIVE
impressive much better than i anticipated,CONSERVATIVE
everything hes talking about we already had with trump,CONSERVATIVE
the lying machine in action,CONSERVATIVE
mean angry and just so out of touch,CONSERVATIVE
the majority of the state of union address was about trying to blame and attack president trump instead of telling the truth about biden and the lefts horrific and destructive policies republicans should have stood up and walked out of the building the moment the first lie came out of bidens mouth i saw speaker johnson shake his head so many times in complete disgust because of joes dishonest and delusionally insanè statements and i too felt embarrassed from having to listen to such blatant lies from such a foolish corrupt and incompetent commanderinchief democrats have become morally bankrupt reprobates like romans 11832 describes and ppl on the left are incapable of being honest and upright and its why america is crumbling to pieces,CONSERVATIVE
in the book of revelation the united states of america once mighty lost its hold its reign of power now a distant past,CONSERVATIVE
trump 2024 biden has destroyed our country,CONSERVATIVE
this man is a walking zombie shame on anyone who reward his incompetence with another four years to do even more damage to our economy and our social structure,CONSERVATIVE
obama is the pepet master of lieing joe biden i hope and pray the republicans get more stronger and stop the democratic party fixing the voting because we americans know the fix is in we need president donald j trump,CONSERVATIVE
biden is sharp smarter than trump at least he has more vocabulary words and more experience on government a vote for trump is a vote for putin last night we saw the tackiness of the republican party and karen marjorie example of how republicans behave,LIBERAL
biden is ok hes a grownup unlike trump who is a failed insurrectionist and pro sexual assault on women,LIBERAL
shits all talk and no walk,CONSERVATIVE
what an angry sad old man i have no sympathy for the devil and the devil he is,CONSERVATIVE
wow biden did better than expected,LIBERAL
i didnt watch it i get enuff bullchit out in the pasture ive watched clips and yep it was bullchit,CONSERVATIVE
buy more ammo,CONSERVATIVE
pathetic uninspiring very divisive no way your going to be reelected,CONSERVATIVE
i would rather watch someone have hemorrhoid surgery than watch his entire speech,CONSERVATIVE
11219 when you get to be my age certain things become clearer than ever unlike my pronunciation of the word clearer in this sentence the big guy,OTHER
he dont give a dam about our country embarrassing president ever wake up america we need our future president trump back 2024 he will make america proud again president trump will take back our country we dont want sleepy joe 4 more years horrible president in the history,CONSERVATIVE
he forgot to bring the ice cream machine,CONSERVATIVE
when they say x is a threat to our democracy what they really mean is x is a threat to democrats being in power they act like they are the only party that should run this nation disgusting,CONSERVATIVE
4 more years,CONSERVATIVE
90 on epsteins list are here,CONSERVATIVE
he thinks its a kids partyf off australia,CONSERVATIVE
