comment,biden_stance,trump_stance
can someone help me find the mark where the camera pans on aoc and she leans over to her left to make a comment to someone because if you read her lips and the vibe she gives it literally looks like she saying she literally stands for everything he says talking about kamala harris,FAVOR,FAVOR
jo biden lied about jan 6 th,AGAINST,FAVOR
speaking a truism at the very start,NONE,NONE
shoulda saved his breath,NONE,AGAINST
biden sons love their cocaine and kickbacks,AGAINST,NONE
lol satan and his minions are desperately running out of time,NONE,FAVOR
samiyanidiwowisitazaniya,NONE,NONE
tazaniyanidewowisiusa,NONE,NONE
wtf prime minister of swedistan,NONE,NONE
the dems want open borders because according to biden we need appreciate more immigrants do i have that right then why do they also advocate for depopulation httpsyoutubels1ou24slksirij4gbrqfgvkyzck,NONE,NONE
3600 fine but they will evade,NONE,NONE
human for human,FAVOR,NONE
i like american president obama and old man joe biden viva b iden,FAVOR,NONE
i know you might not like palisti iansbut the president joe biden needs to make no gun lawsinside the president white house gate ram any outside automobilemy dad told me if i dont come home on time my dad locked me outi locked myself in the car,FAVOR,NONE
i did ha ve a mi ini snickers but i prefer gummi bears,NONE,NONE
you are really funny mister president,FAVOR,NONE
there are some evil destroyed,NONE,NONE
praying helps tooi saw todays weathersome of the evil because of praying for america is flying awaythanks be to godand praise the lordthe son of god jesus,NONE,NONE
may name is nsimire zibanda thank you president joe ben,FAVOR,NONE
old dog killed innocent kids shame on this old dog,FAVOR,FAVOR
every fentanyl dead from now until the border bill is fixed is on the head of drinkbleachdonald,FAVOR,AGAINST
i am going to send him a resume,NONE,NONE
a great speech from a great president,FAVOR,NONE
this is pornographic,NONE,NONE
turncoat biden,AGAINST,NONE
leader spech on hold,NONE,NONE
i happy to here presidentbildenpeechand victory i antoinepierre god s bless,FAVOR,NONE
to me is more the state of disunion,NONE,FAVOR
america is a big country they can not a n idiot lead the country like the idiot predecessor want white house again no place for him period,FAVOR,AGAINST
he can still read when hes on meth,NONE,NONE
sounds like adolf hitler,NONE,AGAINST
a president should teach the democrats and republicans to love one another before they brat about loving the nation together harris ng ym amen painful failings in a democratic american system of government harris ng ym amen why the chinese democrazy is a great success why the russian democrazy is not going to fail why the american and european democrazy is losing its attractiveness throughout the world harris ng ym new world order and the decline of the american empire,FAVOR,NONE
education for children 1 dun teach them to accept a male as a mother 2do not encourage them to practice free casual sex and when they accidentally got pregnant dun just throw the foetus into a dust bin 5 teach children this a foetus is not a just a piece of meat,NONE,NONE
when america got knock down it is very difficult for it stand back up why because america is knocked down by americans it is internal strive and greed america is not knocked down by china and russia,FAVOR,NONE
309 first statement already false joe claims trump directly told putin whilst bowing down to do whatever the hell they want trump had said this quote at a rally in conway south carolina not to putin the full context to this was that the nato countries were not paying for their security and that only when trump threatened those countries with the idea of no assistance did money starting coming in from those countries,FAVOR,AGAINST
do biden voters not like money biden and obama take money from lobbying countries like china selling americans out for his own benefit as a result we all have higher prices and a harder time competing in the global market americans are the hardest working people and our money should reflect that but because of these greedy politicians our dollar is not what it should be the evidence is there tell me how all politicians make around 200k a year but somehow end up growing their net worth by millions while in office dont be a fool vote trump 2024 trump gave his paycheck to our national debt while president he never took a dollar from lobbyists lets have a peaceful prosperous next 4 years god bless this nation,AGAINST,FAVOR
he is not my president,NONE,AGAINST
salamat po sir president joe biden and to your wifemaam vice president harrissir blinken and all your governments inside of this videointernational law hadd islamic law talk thanks pothis not recorded but in digital or internet quranic salehbecause for me this possesi pray people heard and my governments here in the philippinesgod bless us po,FAVOR,NONE
i want to hear more about the potato chips in the bag,NONE,NONE
the united states of america is a republic and not a democracy get it right president,AGAINST,FAVOR
the amount of clapping just shows who was aloud to be in there for his speech and whos not smh,AGAINST,FAVOR
présidence 2024 usa america sir amamra said king of thé world thanks you sée than,FAVOR,NONE
seniors that,NONE,NONE
please help biden stop letting him run to show off one of these times he will fall and break a hip maybe get him a walker stop giving him hard words on his cue cards but do give him cards he has to follow and not go off script highlight the words he needs to read out loud and tell him not to read directions on that card like repeat the line which should not be highlighted dont let him talk to grieving people so he tries to relate to their pain with some inflated story or write him a response thats not a lie and sounds more like he really cares take away his watch so he doesnt check it when the fallen soldiers are parading by him someone helped him get on and off the stage not a bunny rabbit either and where is his wife she should be there to help him and correct him help put on his coat and make sure there are no shadows to trip over she can touch his shoulder to get him to stay on task and keep him away from the children he is creeping them out for that matter keep him away from all young girls when they cringe and move away from him it doesnt look good maybe put blinders on him so he cant see young women that he wants to go after to sniff their hair tell hunter to stop loaning him snuff that makes his eyes wide without blinking it makes him look weird get him a stair lift to get on and off the plane safety is better than looks dont let him sit through long meetings so he falls asleep that looks bad for us stop putting him in front of people who will want to ask questions so he laughs at them while his crew escorts them out of the room dont let him walk so much his stiff walking looks like he is old dont let him go on talk shows anymore it is just too weird does anyone know of anything else that can help this bumbling old senile man,NONE,NONE
whoever embalmed him did a pretty good job,NONE,NONE
commie news network i was able to block them on x i reported the kid smeller as impersonating therealdonaldtrump,NONE,FAVOR
ive grown to support biden and im not a democrat,FAVOR,NONE
biden saying trump had the largest deficit by any president but biden blew it away in just his first 2 years the reason trump is the highest right now is because biden isnt done yet,FAVOR,AGAINST
cometh the moment cometh the man,NONE,FAVOR
they look so joyful and excited perhaps one weakness of democratic is talking and promising too much while the results often turned out to be wrong and embarrassing to the contrary dictators talk less and therefore make less mistakes and are always right like holy god are we really equal lielielie,AGAINST,FAVOR
building economy from the middle out the bottom up not the top down lets build everyone up yes rich people youre included too lol,FAVOR,NONE
you cant love your country only when you win,FAVOR,AGAINST
great positive communication,FAVOR,NONE
c what kind of tv station cant find the time to include subtitles in multiple languages,NONE,NONE
if biden dies in the middle of his 2nd termamericans who voted for him wont be wasted his legacy will be remembered and all of his 2nd term platforms must be continued by his successor,FAVOR,NONE
this was a better state of union address httpswwwyoutubecomwatchvig446isvxli,NONE,NONE
presidents play video games is the only time ill listen to these fucks,NONE,NONE
if you sort by newest you get the maga feed of people who cant spell and dont even have any arguments so they just insult the guy,NONE,AGAINST
a very forthright speech by joe bidenlet us hope that this level of sanity cuts across party lines for the benefit of america and the rest of the world,FAVOR,NONE
mr president your daily peace on earth briefing resolution peace standard whereas peace is an essential foundation for the wellbeing and progress of all nations whereas guided by the principles of unwavering resolve mutual respect and resolute diplomacy resolved 1 member states firmly declare an absolute prohibition on offensive military actions in all forms they shall abstain from engaging in any acts of aggression coercion or provocation that may escalate tensions or threaten international peace and security 2 member states assert a categorical rejection of all territorial disputes and commit to the peaceful resolution of any existing disputes through diplomatic means and in accordance with international law they shall uphold the sovereignty territorial integrity and peaceful coexistence of all nations without exception this resolution stands as an unwavering standard for global peace embodying the steadfast determination of member states to uphold peace security and stability for the collective benefit of humanity,FAVOR,NONE
vice president practice yoga up and down,NONE,NONE
présidency2024ofamerica 2024 king if thé world sir amamra said i belive my contrat america thanks you sée than,FAVOR,NONE
presidency2024of america usa king if thé world sir amamra said thanks you sée than,NONE,NONE
roi said président 2024 in america usa said amamra thanks you sée than,NONE,NONE
amamra said presidency2024 if usa king if thé world sir amamra said thanks you sée than,NONE,NONE
how can people stand this man trump is atleast funny at times id vote for trump if i was american,NONE,FAVOR
ayekoo joe good and noble work done you have exhibited your muscles to prove how worthy you are,FAVOR,NONE
thisi think is the first time a head of state has with humility and utmost pride presented the state of the union resounding in every corner of the country hes won the race already and as if by magical design hes won the race already never mind the unimaginable approval numbers hes won the race already and thats god bestowed god bless the homeland,FAVOR,NONE
so todays cpi is up 04 percent the story quickly changes and no one is covering this point lol the news media are a joke,NONE,NONE
so uncouth nothing decent about him,FAVOR,AGAINST
major healthcare company defaults and files chapter 11 bankruptcyin addition to staffing challenges operators have also faced a number of economic issues that have driven some of these companies to file for bankruptcy or in some cases shut down facilities rising inflation which affects products supplies and employee wages and higher interest rates over the past couple years have severely impacted operators budgets on top of those economic issues operators are battling inadequate medicare medicaid and insurance reimbursements that can lead to capital shortfalls fjb,NONE,NONE
how can maria shriver look exactly as she did 20 years ago does she have some artwork in the attic,NONE,NONE
jesus is coming,NONE,NONE
jan 6 was the worst thing to happen to america let them know joe,FAVOR,AGAINST
vote for me 1 i will reduce the profitability of your 401k 2 i will increase the cost of your goods and service 3 i will probably cost some of you your jobs how will i make my wonderful dream your reality 1 i will reduce the profits of the companys in which your 401k is invested 2 i will reduce the profits of the companys that make your milk toilet paper and your other goods 3 i will reduce the profits of the companys that employ you how can i possibly do all those things why its very simple rise their taxes would you vote for me honestly i wouldnt either i am not a big picture person i ask a simple question how will this affect my family and me i ask the question when looking for a place to live looking for work wondering should i buy or rent just to list a few bottom line when dealing with attorneys and career politicians theyre just doing their jobs im not promoting hatred always read the fine print question everything dont blindly follow anyone we live in a world where no one gets something for nothing there is always a cost and someone has to pay it i just want to make sure if im the one who will be paying i know upfront and take the steps needed to avoid it if its not right for me and my family wouldnt you,NONE,NONE
i would love to hear this speech without the cheering and booing at 28 this is the first presidential address i have ever watched so i will just assume its normal but what the fuck is that isnt this supposed to be seriois,AGAINST,NONE
very funny biden my name is july i never never pay taxes again if you keeping the boder open this is the bigining of war and hope more american like me doing the samething one ride one ranger in i m boricua 100 and i m american 100 i suport texas 100,AGAINST,NONE
show me in the original constitution where it mentions the words democrat or democracy also i find it funny that no one ever researches the origin of these words they just accept them,NONE,FAVOR
when you look at the audience a main problem is clearage not that older people are not capable but how can the old and many times the old ways move a country forward it is time to stop being so afraid of the younger generation and possibly some fresh views and thoughts on how to move us as untied country forward,FAVOR,NONE
joe ur old u will loose big time this time,AGAINST,NONE
biden is a great president and i love the fbi,FAVOR,NONE
jesus answered them go and tell that fox i am driving out demons and performing cures today and tomorrow and on the third day i shall finish my work,NONE,NONE
this is the democrats way this is the republican way httpsyoutubeedijhxuwgksii8sxf0bkm54bvtb just tell me this is a lie,AGAINST,FAVOR
foolishs analog 2 digital converter ok,NONE,NONE
over 60 million lives have been taken by the act of abortion notice how president refuses to say the word,AGAINST,FAVOR
watching harris clap like aseal is a joke jacked up barking joe is a total failure,AGAINST,NONE
angry old man who supported saying bad things about black americans old joe is a very phony,AGAINST,NONE
home i dont have a home anymore,NONE,NONE
average age in the room is over 70 and average net worth well over 2 million each something aint right here,NONE,FAVOR
a smalltime delaware hood made big,FAVOR,NONE
looks like they r payed to stand up i lose count how many times they stand up over n over again,NONE,NONE
im sorry im out here everydaymore and more homeless everyday jobs going left right only because of tiawans situation they bring chip making to ohio in the near futurenow i know he trying the same tactics as trump was just in a soft grandpa voice,NONE,FAVOR
yeah now they all come here to ohio to have reproductive services done we are flooded with out of state women some of those who come from them other states are embarrassed if someone ftom their state finds outthey vote one way an act another smhladies in those other49 states stand up n quit putting all on us ladies who got out rallied and voted for our right that we dont need big brother to take away rights so many have died for,FAVOR,NONE
remember when the vp was never in the same place as acting president,NONE,NONE
never seen a circus like this before and briben as a leader of it makes it even better what a bunch of clowns,AGAINST,NONE
5651 phantoms without foodwatermedeciine,NONE,NONE
5410 where and when did joe biden teach the second amendment for 12 years more biden credibility bsing,AGAINST,NONE
why is he yelling the whole time,NONE,NONE
how can people believe this cr4p have you all drunk their koolaide wtfaith,AGAINST,AGAINST
bidens hair is stuck on with double sided tape you can see a crescent shaped strip of it to keep the front of the comboverextensions down and looking like his hair is growing out from there instead of ending there hahahahai just noticed this makes sense since theres old foootage of him almost bald it woule look better bald lol,AGAINST,NONE
disgraceful people actually applaud the threats to supreme court judges by a sitting president talk about a threat to democracy wtf,FAVOR,AGAINST
liar liar ask a vet about our soldiers in ukraine right now,AGAINST,NONE
this confirms biden is full of manure and johnson is a dem plant,AGAINST,NONE
bro rfk jrs sotu got almost twice as many views as this one and almost ten times the amount of likes you love to see it,FAVOR,NONE
well we know now whos cocain was found in the white house,NONE,NONE
my president doesnt look too good he just screamed and yelled,AGAINST,FAVOR
you waged wars to sell heroin fur democratische idealen copycats httpsyoutubeqm7q1oaaykqsiv35_js9yz6hnvuhr,NONE,NONE
i wonder what substance they gave him to complete this speech,AGAINST,NONE
lets talk about all these migrants coming into united states illegal,AGAINST,FAVOR
awful angry vulgar man petty crook most likely took aricept to remain coherent,FAVOR,AGAINST
with amerka not problem,NONE,FAVOR
baidan ase ailavio amerkano woman they my friend,FAVOR,NONE
other places only problem,NONE,NONE
baidan only amerka fake in ofher places nooo,AGAINST,NONE
ase know for pakistan,NONE,NONE
ase know,NONE,NONE
my friend from nato nada laif from colubiq they say pero laif dragoi,NONE,NONE
it is sad young lost interest to american poletic and old guys running the country,NONE,NONE
yes baidan dragoi have mush problem from colubiq,AGAINST,NONE
baidan ase always fake not laif,AGAINST,NONE
why lie mush pipo amerkano woman for laif,NONE,NONE
baidan pipo always lie for me ase hate laif,NONE,NONE
ase nothind why only me hate pipo,NONE,NONE
baidan for what ase say next programs colubiq problem for amerka,FAVOR,NONE
pipo only torment amerkano woman for laif,NONE,NONE
baidan for 3 years not sigle laif pipo for me,FAVOR,NONE
baidan why no next programs colubqno they hate,NONE,NONE
baidan pipo nada rusiq for what no laif for amerkano woman,AGAINST,NONE
bidenomics since jan 2021 consumer price index overall up 18 groceries up 21 energy up 29 eggs up 37 gasoline up 33 babyfood up 29 source bureau of labor statistics biden and his socialist puppet masters especially obama should be thrown in prison for all the damage theyve done and continue to do to america,AGAINST,NONE
i remember when biden said putin was bluffing when the us spied all the equipment along ukraines border when did putin ever bluffcrimea georgia biden needs a history lesson and watch putins speech when he won his first election,AGAINST,NONE
on the border security bill he trump feels it would be a political win for me and political lose for him its not about him its not about me id be a winner joe biden,FAVOR,AGAINST
that guy joe biden is trash,AGAINST,NONE
what a prick,NONE,AGAINST
i stand with biden,FAVOR,NONE
what an absolutely shameful performance of ludicrous lies is anyone else terrified it is not just americansbut all western civilised countries should be absolutely outraged ashamed and terrified for the prospect of their futures and the futures of their children and their childrens children if americans buy these outrageous bull droppingsagain if they actually did at all in 2020 all western civilised countries are doomed,FAVOR,AGAINST
trump 2024 for 3rd time looking forward to the debate,NONE,FAVOR
i hope that us will send troops in ukraine so that victory as at hand,FAVOR,NONE
where are the fact checkers because 90 of what he claims is not true at all again where are the fact checkers,NONE,AGAINST
he is an idiot,NONE,AGAINST
psalms 145 he who sits in the heavens shall laugh the lord shall hold them in derision then he shall speak to them in his wrath and distress them in his deep displeasure,NONE,NONE
thats sad,NONE,NONE
cnn any new information on steven nccooy you remember him he was the gold star father who really lost his son in afghanistan he was arrested after her peacefully protested during lying dogfaced pony soldier joes speech,AGAINST,NONE
lie most americans do not agree completely with roe v wade which basically makes abortion under right to privacy so babies up to the second before they are birthed can be killed most americans support limits especially after the first 3 months lie it is not reproductive freedom it is abortion the opposite more like antireproductive or baby life termination freedom and what about the freedom of the child where do the human rights for the baby start a heartbeat when they suck their thumb around 3 months in womb lie roe vs wade was not over turned by trump but by the supreme court it has been debated and seen as bad sloppy law since the case closed because again it uses right to privacy to kill another human being lie women nor men can vote a justice out of office the statement biden makes agaisnt them is divisive nasty deceptive lie you cannot vote away even in the legislature a supreme court decision just like you cant make a law in congress that reinstates slavery because of the 13th ammendment they can be repealed through the courts though,AGAINST,FAVOR
joe biden has nothing to offer americans he is just looting their tax money in tge name of ukraine all his campaign speech are useless his campaign is always about donald trump or putin and russia ive never heard him talking about improving lives of americans its always trump and putin im no politician but i can see a weak politician for a man who has been in parliament before i was born weak campaigns if this speech wins him another term id know its possible for me as a south african to easily come to america and be president and live the american dream,AGAINST,NONE
the poorest president,AGAINST,FAVOR
this is the biggest bunch of bull ive ever heard its a campaign speech he doesnt deserve to run the usa pro life abortion is painful to the dying baby why doesnt anyone think about that biden is disgusting,AGAINST,NONE
this was a churchillesque speech full of unity harmony and inspiration at its best,FAVOR,NONE
high performance from president biden,FAVOR,NONE
i knew how to read since first grade and i grew up in a broken home im on my now and at risk of being homeless if i dont pay my rent in ten day im just a young man trying to survive i dont ask for much,NONE,NONE
maybe this whole time he just needed eye contacts to read the teleprompter,FAVOR,AGAINST
clean water so we dont risk brain damage so what about us who been drinking it our whole lives i shouldnt be struggling to pay rent cause i struggle with mental health,FAVOR,NONE
best quote i dont want war with china we want competition with them,FAVOR,FAVOR
lets do this,NONE,FAVOR
woohoo,NONE,NONE
this sotu echoes kennedys 1963 sotu speech be careful biden history may repeat itself i believe in the usa,FAVOR,NONE
amazing policies with education these policies will absolutely push america in the right direction,FAVOR,NONE
americans keep digging a hole voting r and then at the very last ditch effort voting in a democrat congress govt president whatever that saves them,FAVOR,AGAINST
joe biden also said you were cure cancer did you thats a fact did you cure cancer because my mom is sitting in the grave you havent done nothing good for this country you should retire and enjoy your retirement thats my american opinion and those are facts too,AGAINST,NONE
this man is such a liar,NONE,AGAINST
his reference in his words my god can only be moloch or baal on whose altars pagans sacrificed their babies to,NONE,AGAINST
hell go down as the worst president in history,FAVOR,AGAINST
i dont know how anyone could believe any of this stuff he says,NONE,AGAINST
it does not tell the truth ever,NONE,FAVOR
ive never seen anyone lie like the democrats do everything is just a big fib,AGAINST,FAVOR
they are all clapping at how much money going in their back accounts all the money coming out of ours,AGAINST,AGAINST
why is the president clapping for the puppet how many people did he hire to clap for him trump2024,NONE,NONE
look all those making jokes meanwhile they started the proxywar and bombarded illegal countrys,AGAINST,FAVOR
the plant in belvidere stayed open but how many other uaw plants in il closed,NONE,NONE
中信18億陽光城項目爆雷高管收8000万citics 18 billion sunshine city project defaulted but executives earned 80 million in commissions,NONE,NONE
president joe biden did more than any younger president have did in 2 years than a y president have done in history plus through the pandemic as well the onl bipartisan president made the rich pay their fare share quoting we are the united states of americaand there is nothing we cant do if we unite and do it together bipartisan there is nothing we can not do we are the united states of america sounds like a spiritual thinking man no one is perfect but god seth the lord,FAVOR,NONE
our president joe biden started the first dy elected and got more done with the pandemic and the most popular president than any younger president and a sound mind and above all things first bipartisan president in history to make the rich pay their fare share and quote we are the united states of america and there is nothing we cant do if we unite and do it together tbere is nothing nothing we cant do bipartisan surely this is a spiritual thing man only god is perfect,FAVOR,NONE
biden on abortion which he refers to as reproductive freedom and ivf is the biggest contradiction ever both processes kill off babies but biden says ivf is a miracle and no supreme court in any state should be allowed to stop a woman from having a baby so i would ask biden are you for or against the life of a baby it makes no sense what this administration is doing this administration can be summed up with one word and thats confused,AGAINST,NONE
republican that have their heads up their ass need to listening to the american people and work for the american people,FAVOR,AGAINST
you mean the virus released by china and the democrats to over throw trumps re election,NONE,FAVOR
bidens state of the union deception httpswwwyoutubecomwatchvl3lqma_vsj8,AGAINST,NONE
disgusting excuse for a human and same for vp satan is moving quickly but it towards gods judgement day politicians dress lightly because judgement is coming,AGAINST,AGAINST
imagine if jesus went around charging people to be healed,NONE,AGAINST
2m00s in and i am gone annette,NONE,NONE
what about a college loan like a car loan why the compounded interest why not just a fixed built in interest fee and be done,NONE,NONE
how can our country ever find unity with the divide i feel we are lost,FAVOR,NONE
its funny how all of a sudden on an election year that this administration is doing all these things,FAVOR,AGAINST
im not sure what america hes talking about but you cant just speak this stuff into existence the constant slander of his predecessor is extremely childish too you cant just speak on your fake achievements lets talk badly about the opponent so sick of this type of behavior,FAVOR,AGAINST
i just wish we could truly have authentic speeches that hit the core of our country soul this always sounds to me like hot air just saying what the people want to hear so they can applaud i am a no party this is how i see it period,AGAINST,AGAINST
hes in shock theyre clapping,NONE,AGAINST
you will follow this thing will you you will follow this demon i will not,NONE,FAVOR
epic clownshow to be sure,NONE,AGAINST
this is the most divisive speech i have ever seen,AGAINST,FAVOR
alterboy mike thomas,NONE,NONE
please stop yapping,NONE,NONE
god bless great and gorgeous united state of the america forever,NONE,FAVOR
regardless whether you are left or right or stand in the middle the usa is and has become an absolute pathetic cowardly unjustifiable corrupt nation that is in no way at all united in any way shape or form its politics is astonishingly full of liars greed deception and yet the american people continue to pay up to 50 of their hard working wage in taxes especially the working class and now with your open borders the criminal activity has increased by 3800 it is no wonder russia and china laugh at you your forefathers who built the united states has sunken lower in their graves due to the embarrassment you show the rest of the world and having personally travelled to the usa 6 times in 10 years and being an ex defence force personnel the word disgusted in your leadership is nearly as embarrassing if not worse than the clowns we have in australia,AGAINST,AGAINST
mr president biden shows his true colors mr president putin probably would have already shown his authority if not for mr president trump doing what he does best with respect to negotiations on peace and prosperity thank you mr president trump for taking time to calm mr president putin down some what president biden will not back down and will continue to feed children and families in whole in ukraine before he feeds his own children and family in the usa,AGAINST,FAVOR
yes history in the making us retired veterens paying rent and kicked out on the streets to make room for the bidens administrations lack of brains,AGAINST,NONE
resolution title the united states standard for peace whereas the united states recognizes the paramount importance of maintaining peace and stability both domestically and internationally whereas in adherence to principles of peaceful coexistence and international cooperation resolved 1 the united states reaffirms its commitment to a defensive military posture while refraining from engaging in offensive 2 the united states pledges to have no territorial disputes this resolution shall serve as the cornerstone of the united states commitment to promoting global peace and security and it is intended to be noted and aligned with similar resolutions adopted by other nations in the pursuit of a normalized peaceful world,FAVOR,FAVOR
as a citizen of this great nationwe need a freedom of a democracywe should keep the peace in the united statesi see bright future for americabeing patriotei love america and president biden is the one who need to run the country for the next four yearas i have 500 iq and i can see the future and i can guarantie you that you are going to run the presidency for the next couple of yearsbut nothing this should not be possible if there is not the support of president barack obama who ishas been and still the best president in history world widewe should consumes americabuy america and make americawe have raised up 1trillion billion dollard on investmentpower to the americaglad there is a great successdemocrate party can change america for the best like ever beforereason that the state of our union is getting stronger and successfuli will make sure that all the muslim american vote for president biden through the word of the coran from the holy city of macca turned toward the kaabamay god bless america,NONE,NONE
dont let the door hit you on the way out,NONE,AGAINST
amen amen he says to all of us,NONE,FAVOR
something useful is going onlisten to reason useful actions mentioned work being done on all fronts am very thankful pray that it continues much needs to be resolvedall very well presented speech but i pray for him as he has experience as is obvious in this share with america,FAVOR,NONE
the cadaverinchief has something important to mumble lol no wonder we are the laughing stock of the galaxy with this lifeless puppet front and center,AGAINST,FAVOR
great partner,FAVOR,NONE
thank god logic common sense is finally making sense,NONE,FAVOR
this speech covers alot of ground see what experience does,FAVOR,NONE
experience and logic showing up in this speech thank god,FAVOR,NONE
at least she has it right knows what is most meaningful,NONE,NONE
experience speaks,FAVOR,AGAINST
progressstrength innumbers peace,FAVOR,NONE
bad lip reading was better,NONE,NONE
president biden a your resolution draft peace on earth is concise and clear outlining two key points for promoting peace it effectively emphasizes the importance of defensive military posture and diplomatic resolution of territorial disputes however if youre looking to enhance its impact you may consider adding some additional details or clarifications heres a slightly revised version of your resolution resolution title the united states standard for peace whereas the united states recognizes the paramount importance of maintaining peace and stability both domestically and internationally whereas in adherence to principles of peaceful coexistence and international cooperation resolved 1 defense over offense the united states reaffirms its unwavering commitment to a defensive military posture prioritizing the protection of its citizens and allies from external threats this commitment underscores our dedication to maintaining peace and security without resorting to offensive military actions that may escalate tensions or provoke conflict 2 diplomatic resolution of territorial disputes the united states pledges to actively engage in diplomatic efforts to resolve territorial disputes with other nations we will adhere strictly to international law and utilize established mechanisms for peaceful dispute resolution through dialogue negotiation and cooperation we aim to foster a climate of mutual respect and understanding among nations this resolution serves as the cornerstone of the united states commitment to promoting global peace and security it is intended to be noted and aligned with similar resolutions adopted by other nations thus contributing to the collective effort towards a more peaceful world feel free to adjust the wording further to better suit your preferences or the context in which the resolution will be presented,NONE,NONE
mr biden you tax us and print the money without a second thought to help funding the war where most of americans dont where it is while millions illegally pass the border and now you act like you care please give me a break millions middle class in america struggling every paycheck to survive the inflation you are a disgrace to americans,AGAINST,FAVOR
hey biden while your handing out money and guns can i get 100k,NONE,NONE
the american nightmare,AGAINST,AGAINST
resolution title the united states standard for peace whereas the united states recognizes the paramount importance of maintaining peace and stability both domestically and internationally whereas in adherence to principles of peaceful coexistence and international cooperation resolved 1 the united states reaffirms its commitment to a defensive military posture emphasizing readiness to protect its citizens and allies from external threats while refraining from engaging in offensive military actions that may escalate tensions or provoke conflict 2 the united states pledges to resolve territorial disputes through diplomatic means in accordance with international law and established mechanisms for peaceful dispute resolution fostering a climate of mutual respect and cooperation among nations this resolution shall serve as the cornerstone of the united states commitment to promoting global peace and security and it is intended to be noted and aligned with similar resolutions adopted by other nations in the pursuit of a more peaceful world,FAVOR,FAVOR
i am not american but i speak three languages and i will give this one to democrats biden mumbles a lot when he speaks,AGAINST,NONE
