Tweet,Ideology
"['followthemoney', 'foxnew', 'corrupttrump', 'trump', 'super', 'pac', 'america', 'first', 'action', 'paid', 'thousand', 'firm', 'own', 'brad', 'parscal', 'cnnpolit']",Liberal
"['give', 'shit', 'armi', 'done', 'armi', 'condon', 'trump', 'action', 'part', 'trump', 'grifter']",Liberal
"['trump', 'spend', 'golf', 'school', 'wall', 'trillion', 'war', 'super', 'bowl', 'sunday', 'cage', 'kid', 'trump', 'brother', 'privat', 'court', 'secur', 'trillion', 'everi', 'month', 'tax', 'cut', 'militari', 'secur', 'kid', 'travel', 'busin']",Liberal
"['alert', 'russian', 'come', 'russian', 'come', 'nope', 'alreadi', 'courtesi', 'realdonaldtrump', 'speakerryan', 'senmajldr', 'gop', 'goprussia']",Conservative
"['muellerreport', 'document', 'trump', 'facebook', 'cambridgeanalytica', 'ira', 'russiantrollfactori', 'playbook', 'work', 'affect', 'outcom', 'sinc', 'trump', 'support', 'either', 'ca', 'read', 'bad', 'actor', 'read', 'damn']",Liberal
"['putin', 'keep', 'whisper', 'trump', 'ear', 'perhap', 'putin', 'quid', 'pro', 'quo', 'withdraw', 'open', 'sky', 'ill', 'help', 'win', 'novemb', 'fridaythought', 'corrupttrump']",Liberal
"['russian', 'propaganda', 'troll', 'rd', 'speak', 'putin', 'puppet', 'trump', 'drink', 'cult', 'follow', 'watch', 'democraci', 'disappear', 'impeachthemf']",Liberal
"['nune', 'traitor', 'complicit', 'trump', 'lie', 'democrat', 'lawmak', 'reveal', 'devin', 'nune', 'buri', 'key', 'evid', 'russia', 'probe', 'alternet']",Liberal
"['novemb', 'one', 'call', 'trumpukrain', 'trump', 'stupidwaterg', 'thisisnotnorm', 'rather', 'unusu', 'omb', 'express', 'concern', 'pure', 'via', 'thedailybeast']",Liberal
"['hey', 'spanki', 'allow', 'behavior', 'countri', 'remain', 'silent', 'use', 'less', 'word', 'read', 'teleprompt', 'mean', 'notmypresid', 'trump']",Liberal
"['paul', 'manafort', 'go', 'jail', 'deni', 'trump', 'affect', 'manafort', 'trial', 'theyr', 'even', 'allow', 'mention', 'trump', 'name', 'manafort', 'pay', 'crime']",Liberal
"['im', 'glad', 'stormydaniel', 'su', 'dt', 'defam', 'time', 'someon', 'hold', 'account', 'damag', 'bs', 'tweet', 'demforc', 'trump']",Liberal
"['minut', 'w', 'alexisconran', 'trump', 'rant', 'link', 'racism', 'amp', 'concern', 'investig', 'trump', 'amp', 'borisjohnson', 'fluf', 'trump', 'mueller', 'fake', 'presidenti', 'seal']",Liberal
"['better', 'lawyer', 'big', 'time', 'last', 'knew', 'white', 'lie', 'still', 'lie', 'hopehickswhit', 'muellertim', 'trump']",Liberal
"['donald', 'trump', 'work', 'russia', 'get', 'elect', 'becom', 'putinspuppet']",Liberal
"['make', 'point', 'gop', 'cross', 'trump', 'youll', 'pay', 'hasnt', 'loeffler', 'arrest', 'trumpmobboss']",Liberal
"['realdonaldtrump', 'dictat', 'wannab', 'bet', 'youd', 'besti', 'w', 'hitler', 'treason', 'fool', 'resign', 'gopcorrupt', 'stopkavanaugh', 'webelievedrford']",Liberal
"['tyrant', 'trump', 'get', 'tip', 'anoth', 'tyrant', 'putin', 'tell', 'governor', 'domin', 'protest']",Liberal
"['analysi', 'collus', 'crime', 'collud', 'trump']",Liberal
"['mike', 'penc', 'jesu', 'drug', 'need', 'penceandryancomplicit', 'trump']",Liberal
"['freedom', 'press', 'constitut', 'trump', 'need', 'read', 'obviou', 'push', 'democraci', 'want', 'dictat', 'need', 'get', 'wh', 'asap', 'savedemocraci', 'america', 'constitut', 'usa']",Liberal
"['agre', 'assess', 'would', 'add', 'tradewar', 'also', 'divers', 'big', 'shoe', 'drop', 'trump', 'theresist', 'resist', 'come', 'big', 'shoe', 'drop', 'via', 'palmerreport']",Liberal
"['migrant', 'children', 'amid', 'filth', 'kennel', 'cage', 'trump', 'camp', 'crime', 'age', 'cruel', 'use', 'power', 'sin', 'loss', 'shall', 'bear', 'wage', 'impeachnow']",Liberal
"['plz', 'follow', 'back', 'trump', 'votersunit', 'countri', 'parti', 'equal', 'liberti', 'truth', 'justic', 'togeth', 'vote', 'trump', 'thank', 'susan']",Liberal
"['good', 'god', 'much', 'free', 'time', 'sit', 'complain', 'tweet', 'retweet', 'day', 'your', 'like', 'teenag', 'glu', 'social', 'media', 'see', 'peopl', 'say', 'cant', 'wait', 'impeachmentday', 'trump']",Liberal
"['teamcavuto', 'amp', 'foxnewssunday', 'chri', 'wallac', 'trump', 'propagandist', 'start', 'speak', 'realdonaldtrump', 'shade', 'amp', 'slam', 'evid', 'tri', 'make', 'buddi', 'shep', 'smith', 'foxnew', 'billhemm', 'seanhann']",Conservative
"['bozoprez', 'make', 'asinin', 'statement', 'brain', 'cell', 'connect', 'thing', 'trump']",Liberal
"['disgrac', 'potu', 'expect', 'news', 'outlet', 'think', 'stalin', 'fox', 'news', 'suppos', 'pravda', 'dement', 'brain', 'trump']",Liberal
"['newbluehand', 'bluehand', 'rt', 'power', 'video', 'nation', 'endur', 'health', 'care', 'crisi', 'hillari', 'trump']",Liberal
"['remind', 'friend', 'mine', 'he', 'allow', 'complain', 'trump', 'presid', 'couldnt', 'bring', 'vote', 'everi', 'apathet', 'loser', 'didnt', 'particip', 'democrat', 'process', 'fu', 'k']",Liberal
"['mark', 'levin', 'tell', 'cpac', 'oblig', 'defend', 'realdonaldtrump', 'democrat', 'take', 'make', 'mistak', 'regardless', 'support', 'primari', 'trump', 'rino', 'crook', 'hillari', 'democrat', 'peopl']",Conservative
"['doubt', 'idiot', 'liar', 'smart', 'idiotinchief', 'liarinchief', 'trump']",Liberal
"['regress', 'leftist', 'theresist', 'trump', 'lie', 'spred', 'much', 'fear', 'trump', 'stay', 'power', 'deserv', 'lose', 'elect', 'tri', 'destabil', 'republ', 'redtsunami', 'electionday', 'novemb', 'voter', 'save', 'america']",Conservative
"['ye', 'sleep', 'beauti', 'hear', 'alarm', 'wake', 'trump']",Liberal
"['obama', 'clinton', 'ever', 'member', 'militari', 'trump']",Liberal
"['never', 'first', 'time', 'ever', 'vote', 'democrat', 'trump']",Liberal
"['america', 'teeter', 'brink', 'trump', 'fan', 'still', 'proud', 'dont', 'think', 'million', 'march', 'justic', 'bill', 'barr', 'smirk', 'trust', 'us', 'liberti', 'could', 'stolen', 'wink']",Liberal
"['awfl', 'alert', 'siriusxm', 'think', 'want', 'hear', 'bunch', 'trump', 'femal', 'lib', 'comedian', 'channel', 'shessofunni', 'yeah', 'cc', 'scottmgreer', 'citybureaucrat']",Conservative
"['senmikele', 'made', 'cogent', 'logic', 'utterli', 'reason', 'amp', 'nearli', 'irrefut', 'argument', 'gop', 'amp', 'dem', 'trump', 'coup', 'accomplic', 'attempt', 'unconstitut', 'restrict', 'executiveauthor', 'specialcounselprotectionlegisl', 'get', 'cspan']",Conservative
"['newbluehand', 'bluehand', 'behalf', 'famili', 'entir', 'campaign', 'want', 'wish', 'everyon', 'happi', 'healthi', 'prosper', 'diwali', 'hillari', 'trump']",Liberal
"['newbluehand', 'bluehand', 'rt', 'whitehous', 'today', 'honor', 'rememb', 'american', 'hero', 'made', 'ultim', 'sacrific', 'protect', 'countri', 'freedom', 'potu', 'trump']",Conservative
"['specialreport', 'surpris', 'see', 'lib', 'panelist', 'push', 'fals', 'narr', 'realdonaldtrump', 'start', 'vendetta', 'senjohnmccain', 'fact', 'mccain', 'began', 'feud', 'trump', 'statement', 'earli', 'gop', 'primari', 'season', 'mccain', 'skunk']",Conservative
"['eric', 'pretend', 'count', 'delici', 'trump']",Liberal
"['sure', 'trump', 'republican', 'amp', 'democrat', 'patriot', 'unit', 'proud', 'say', 'full', 'bipartisan', 'alway', 'agre', 'share', 'common', 'vision', 'nation', 'secur', 'constitut', 'freedom', 'rule', 'law']",Liberal
"['trump', 'never', 'vote', 'dont', 'know', 'other', 'mean', 'never', 'ever']",Liberal
"['anyon', 'realli', 'think', 'pick', 'warren', 'may', 'favorit', 'corpor', 'america', 'hate', 'seem', 'like', 'poll', 'trump', 'republican', 'alreadi', 'pick', 'top', 'ticket']",Liberal
"['newbluehand', 'bluehand', 'rt', 'realdonaldtrump', 'thrill', 'announc', 'second', 'quarter', 'year', 'economi', 'grew', 'amaz', 'rate', 'potu']",Liberal
"['im', 'curiou', 'anyon', 'know', 'sponsor', 'former', 'secnav', 'spencer', 'nomin', 'appear', 'anoth', 'trump', 'guy', 'navi', 'vet', 'avail']",Conservative
"['omar', 'admir', 'trump', 'washington', 'post', 'columnist', 'cnn', 'analyst', 'suggest', 'die', 'like', 'coward']",Liberal
"['month', 'ive', 'offici', 'run', 'obama', 'done', 'trump']",Liberal
"['make', 'mistak', 'realdonaldtrump', 'polici', 'energi', 'domin', 'prodction', 'continu', 'burn', 'fossil', 'fuel', 'acceler', 'catastroph', 'climat', 'chang', 'result', 'human', 'suffer', 'massiv', 'scale', 'end', 'human', 'extict', 'worstpresidentev']",Liberal
"['fail', 'invok', 'defens', 'protect', 'act', 'till', 'forc', 'peopl', 'texa', 'die', 'lack', 'test', 'medic', 'suppli', 'late', 'stop', 'obsequi', 'show', 'ball', 'dumptrumpnow', 'trump']",Liberal
"['welcom', 'modern', 'trump', 'republican', 'parti', 'us', 'keep', 'think', 'sink', 'lower', 'proven', 'wrong', 'daili', 'blm', 'covidiot', 'moscowmitchmustgo']",Liberal
"['seem', 'long', 'ago', 'see', 'presid', 'speak', 'coher', 'sentenc', 'trump', 'credibl', 'coronaviruspandem']",Liberal
"['havent', 'known', 'much', 'ass', 'kiss', 'done', 'mani', 'grown', 'ass', 'profession', 'ppl', 'life', 'senatetri', 'trump']",Liberal
"['good', 'cant', 'believ', 'trump', 'america', 'itsmullertim', 'bluetsunami']",Liberal
"['social', 'secur', 'chariti', 'paid', 'still', 'check', 'stub', 'prove', 'rob', 'trump']",Liberal
"['dare', 'respect', 'dead', 'man', 'disagre', 'fuck', 'piec', 'shit', 'blow', 'hard', 'presid', 'notmypresid', 'trump']",Liberal
"['peopl', 'person', 'agenda', 'purpos', 'diminish', 'movement', 'trump']",Liberal
"['graham', 'bad', 'day', 'begun', 'women', 'watch', 'vote', 'stopkavanaugh', 'webelievechristin', 'trump']",Liberal
"['pleas', 'god', 'punish', 'us', 'ignor', 'trump', 'fire', 'day', 'never', 'allow', 'moron', 'presid', 'realdonaldtrump', 'faketweet', 'cnn']",Liberal
"['presid', 'trump', 'lie', 'cheat', 'steal', 'anyth', 'everyth', 'make', 'peopl', 'look', 'bad', 'disgust', 'racist', 'white', 'supremacist', 'funga']",Liberal
"['necessari', 'bot', 'want', 'bolton', 'testifi', 'put', 'thing', 'bed', 'trump']",Liberal
"['god', 'help', 'whoever', 'take', 'orang', 'one', 'take', 'full', 'term', 'recov', 'us', 'reput', 'trump']",Liberal
"['may', 'ethic', 'doesnt', 'make', 'right', 'appear', 'matter', 'trump']",Liberal
"['trump', 'suggest', 'synagogu', 'shoot', 'would', 'differ', 'protect', 'via', 'thr', 'commentthi', 'prove', 'bed', 'nra', 'pure', 'evil']",Liberal
"['failedpresid', 'trump', 'tri', 'spin', 'failur', 'act', 'coronaviru', 'month', 'wartim', 'presid', 'dont', 'let', 'he', 'reason', 'commun', 'spread', 'still', 'test', 'econom', 'disast', 'peopl', 'die', 'trumplieseverytimehespeak']",Liberal
"['exactli', 'magat', 'scream', 'corpor', 'welfar', 'billion', 'go', 'trumpti', 'dumpti', 'pal', 'small', 'busi', 'sink', 'hypocrit', 'trumptrash', 'magattrash', 'trumpisanationaldisgrac']",Liberal
"['trump', 'dumpgop', 'white', 'hous', 'limit', 'scope', 'kavanaugh', 'fbi', 'investig', 'sexual', 'assault', 'claim', 'axio']",Liberal
"['oh', 'anoth', 'republican', 'cri', 'whine', 'daddi', 'trump', 'didnt', 'get', 'way']",Liberal
"['michigan', 'cancel', 'legisl', 'session', 'avoid', 'arm', 'protest', 'bloomberg', 'possibl', 'violenc', 'group', 'michiganunitedforliberti', 'forc', 'state', 'legislatur', 'end', 'session', 'great', 'nice', 'fascist', 'trump']",Liberal
"['realli', 'sinc', 'possibl', 'revers', 'death', 'peopl', 'alreadi', 'confirm', 'infect', 'stupid', 'stupid', 'get', 'trumpisnotwel', 'presidementia', 'trump']",Liberal
"['thank', 'sorri', 'parti', 'sold', 'soul', 'hate', 'fear', 'greed', 'realdonaldtrump']",Liberal
"['think', 'trump', 'employ', 'profession', 'peopl', 'write', 'tweet', 'name', 'thu', 'tweet', 'often', 'refer', 'often', 'bootbarr', 'ditchmitch', 'pitchpenc']",Liberal
"['god', 'bless', 'america', 'great', 'presid', 'acknowledg', 'bless', 'god', 'trump']",Conservative
"['awesom', 'kayleigh', 'go', 'girl', 'look', 'like', 'fun', 'usa', 'usa', 'usa', 'trump', 'g']",Conservative
"['keep', 'vote', 'demoncrat', 'offic', 'deserv', 'get', 'care', 'get', 'thru', 'head', 'trump']",Conservative
"['time', 'termlimit', 'social', 'work', 'economi', 'boom', 'trump', 'time', 'walkaway', 'join', 'win', 'team', 'aboard', 'trumptrain', 'votedemsout']",Conservative
"['would', 'hate', 'he', 'alway', 'self', 'deprec', 'peopl', 'confid', 'alway', 'also', 'youv', 'provid', 'free', 'public', 'thank', 'trump']",Conservative
"['love', 'presid', 'trump', 'man', 'make', 'america', 'great']",Conservative
"['agre', 'client', 'physician', 'im', 'alway', 'challeng', 'love', 'decis', 'reli', 'data', 'fact', 'trump']",Conservative
"['pray', 'never', 'becom', 'presid', 'ridicul', 'close', 'border', 'act', 'faster', 'spit', 'sentenc', 'also', 'need', 'rememb', 'thing', 'proven', 'cant', 'attack', 'anyon', 'ask', 'question', 'trump']",Conservative
"['look', 'like', 'peopl', 'wake', 'fact', 'lame', 'stream', 'media', 'fraud', 'trump']",Conservative
"['agre', 'potu', 'dem', 'grip', 'fear', 'amp', 'would', 'add', 'hatr', 'aocsquad', 'democratsocialist', 'control', 'hous', 'amp', 'amp', 'dem', 'accept', 'loss', 'fell', 'right', 'trap', 'walkawayfromdemocratsforev', 'trump']",Conservative
"['yeah', 'right', 'mr', 'doom', 'gloom', 'sad', 'dem', 'hope', 'worst', 'case', 'scenario', 'forget', 'isnt', 'obama', 'trump', 'work', 'nonstop', 'best', 'outcom', 'american']",Conservative
"['fact', 'seal', 'legaci', 'histori', 'book', 'greatest', 'takeov', 'corrupt', 'govern', 'hurt', 'trump', 'everyth', 'tri', 'fail', 'lockthemallup']",Conservative
"['scotu', 'end', 'daca', 'unconstitut', 'trump', 'must', 'anoth', 'way', 'gop', 'scotu', 'dacadecis']",Conservative
"['tireless', 'determin', 'best', 'america', 'mighti', 'awesom', 'warrior', 'thankyoupresidenttrump', 'trump']",Conservative
"['ag', 'barr', 'investig', 'horror', 'reveal', 'respons', 'travesti', 'kill', 'ny', 'state', 'popul', 'israel', 'q', 'flynn', 'nra', 'deplor', 'draintheswamp', 'fakenew', 'anticommun', 'trump']",Conservative
"['think', 'littl', 'jealou', 'trump', 'also', 'sad', 'mention', 'year', 'old', 'son', 'noth']",Conservative
"['rest', 'member', 'commite', 'patriot', 'go', 'rest', 'remov', 'traitor', 'hide', 'offic', 'presid', 'mueller', 'close', 'trump', 'wont', 'long']",Liberal
"['say', 'name', 'three', 'time', 'get', 'beetlejuic', 'say', 'five', 'time', 'get', 'horrif', 'candycolouredman', 'muelleriscom', 'trump']",Liberal
"['multipl', 'whistleblow', 'rais', 'grave', 'concern', 'white', 'hous', 'effort', 'transfer', 'sensit', 'usnucleartechnolog', 'saudiarabia', 'trump', 'via', 'oversightdem']",Liberal
"['trump', 'destroy', 'democraci', 'dismantl', 'agenc', 'protect', 'us', 'believ', 'hous', 'secretari', 'confus', 'bank', 'term', 'brand', 'cooki', 'put', 'full', 'incompet', 'display']",Liberal
"['choos', 'polit', 'reason', 'think', 'terribl', 'preced', 'sad', 'commentari', 'abus', 'system', 'clapper', 'said', 'last', 'month', 'awww', 'poor', 'trump', 'freak', 'muelleroursavior', 'close']",Liberal
"['still', 'realdonaldtrump', 'villain', 'traitor', 'puppet', 'putin', 'protectmuel']",Liberal
"['marcorubio', 'sotu', 'cancel', 'presid', 'realdonaldtrump', 'crimin', 'current', 'squat', 'wh', 'evict', 'proceed', 'take', 'mueller', 'ca', 'get', 'done', 'nov', 'democrat', 'congress']",Liberal
"['speakerpelosi', 'pelosi', 'pleas', 'begin', 'impeach', 'trump', 'rememb', 'cohen', 'testimoni', 'fear', 'trump', 'would', 'releas', 'presid', 'peac', 'pleas', 'implor', 'impeach', 'trump', 'late', 'americansforimpeach', 'trumpdict']",Liberal
"['pleas', 'rewatch', 'documentari', 'film', 'activ', 'measur', 'seen', 'must', 'watch', 'ask', 'donald', 'trump', 'know', 'malic', 'aforethought', 'russian', 'agent', 'trumpisarussianag', 'removetrumpnow']",Liberal
"['exactli', 'realdonaldtrump', 'weasel', 'still', 'gutless', 'weasel', 'johnmccain', 'russianasset', 'cadetbonespur']",Liberal
"['trump', 'plan', 'divert', 'addit', 'billion', 'pentagon', 'fund', 'border', 'wall', 'teampelosi', 'repjerrynadl', 'repswalwel', 'senschum']",Liberal
"['bad', 'situat', 'investig', 'fbi', 'crook', 'trumpisnotabovethelaw', 'flynnexposesthemal', 'impeachmentnow', 'trump']",Liberal
"['wit', 'observ', 'presid', 'abus', 'power', 'offic', 'solicit', 'interfer', 'foreign', 'countri', 'us', 'whistleblow', 'gop', 'integr', 'realdonaldtrump', 'trump', 'senategop', 'senatemajldr']",Liberal
"['trump', 'mcconnel', 'close', 'almost', 'detriment', 'democraci', 'fatnixon', 'complicitcongress']",Liberal
"['wow', 'must', 'bad', 'navi', 'seal', 'either', 'read', 'downright', 'liar', 'zero', 'integr', 'gopcorrupt', 'trump']",Liberal
"['werent', 'crook', 'would', 'felt', 'need', 'spi', 'found', 'lot', 'everi', 'word', 'deed', 'intend', 'obstruct', 'justic', 'go', 'ahead', 'fire', 'mueller', 'wont', 'stop', 'train', 'wreck', 'that', 'come', 'muelleriscom', 'trump']",Liberal
"['trump', 'alreadi', 'call', 'elect', 'rig', 'thst', 'lead', 'crookedmf', 'cancel', 'elect', 'longer', 'live', 'danger', 'mf', 'becom']",Liberal
"['trump', 'illeg', 'ask', 'russia', 'help', 'win', 'get', 'away', 'liarinchief', 'agentorang', 'lockhimup']",Liberal
"['tell', 'us', 'big', 'tax', 'cut', 'got', 'cathi', 'mcmorri', 'rodger', 'presid', 'trump', 'releas', 'standard', 'last', 'year', 'tax']",Liberal
"['analysi', 'mislead', 'mere', 'fals', 'lie', 'trump', 'notmypresid']",Liberal
"['feloni', 'us', 'presid', 'far', 'uniti', 'protect', 'us', 'us', 'elect', 'integr', 'getoutandvot', 'allvotesmatt', 'convicttrump', 'trump']",Liberal
"['crook', 'trump', 'lie', 'constantli', 'crook', 'corrupt', 'trump', 'attack', 'kiss', 'ur', 'ass', 'crook', 'crimin', 'trump', 'investig', 'collus', 'fraud', 'money', 'launder', 'treason', 'conspir', 'obstruct', 'justic', 'much']",Liberal
"['trump', 'sinc', 'seem', 'like', 'pattern', 'crookednixon', 'skip', 'rest', 'nixon', 'do', 'take', 'final', 'walk', 'helicopt', 'like', 'nixon', 'turn', 'around', 'give', 'final', 'wave', 'theresist', 'lockhimup']",Liberal
"['trump', 'insan', 'trump', 'helm', 'amp', 'countri', 'deterior', 'fast', 'nanci', 'would', 'bring', 'welcom', 'saniti', 'back']",Liberal
"['expect', 'republican', 'governor', 'fix', 'job', 'close', 'give', 'money', 'gone', 'give', 'back', 'job', 'compani', 'cant', 'afford', 'pay', 'trump', 'destroy', 'america', 'notmypresid']",Liberal
"['mayb', 'point', 'claim', 'viru', 'made', 'chines', 'lab', 'could', 'cut', 'leav', 'profit', 'motiv', 'avail', 'bigpharma', 'run', 'oligarch', 'complic', 'know', 'shell', 'game', 'trumpgenocideforprofit', 'trump']",Liberal
"['realdonaldtrump', 'trump', 'trumpisafailur', 'warn', 'pandem', 'januari', 'call', 'hoax', 'daili', 'ralli', 'twitter', 'warn', 'amp', 'noth', 'trumpisacompletefailur']",Liberal
"['trump', 'fakenew', 'trump', 'sycoph', 'gm', 'ford', 'yet', 'make', 'ventil', 'despit', 'trump', 'assert']",Liberal
"['billion', 'fortun', 'compani', 'alon', 'nearli', 'billion', 'dollar', 'deficit', 'ask', 'billion', 'wall', 'fiscal', 'conserv', 'respons', 'bad', 'invest', 'corrupt', 'leadership', 'votethemout', 'trump']",Conservative
"['qualifi', 'defin', 'everyth', 'even', 'elect', 'repres', 'anyon', 'trump']",Liberal
"['panic', 'level', 'trump', 'tweet', 'today', 'indic', 'great', 'news', 'way', 'presid', 'collus', 'stock']",Liberal
"['realdonaldtrump', 'talk', 'nation', 'secur', 'get', 'rid', 'ass', 'housedemocrat', 'need', 'move', 'trump', 'muellerinvestig', 'must', 'conclud', 'gop', 'bitch', 'go', 'prison']",Liberal
"['putinspuppet', 'judg', 'allow', 'lawsuit', 'trump', 'chariti', 'proceed', 'reject', 'claim', 'presid', 'cant', 'su']",Conservative
"['thankgod', 'foundingfath', 'forethought', 'process', 'crooedhillri', 'would', 'potu', 'trump', 'theview', 'pleas', 'retweet']",Conservative
"['maga', 'trump', 'trump', 'kag', 'confirmkavanaughnow', 'need', 'go', 'booker', 'harri', 'coon', 'feinstein', 'whitehead', 'everyth', 'past', 'grade', 'smoke', 'weed', 'hooker', 'everyth', 'need', 'fake', 'dossier', 'level', 'smear', 'campaign']",Liberal
"['let', 'show', 'dem', 'seriou', 'kag', 'might', 'ask', 'show', 'poll', 'massiv', 'number', 'dont', 'complac', 'dont', 'believ', 'poll', 'elect', 'trump', 'need', 'back', 'patriot', 'trump', 'let']",Conservative
"['aloof', 'idiot', 'comey', 'act', 'aloof', 'dumb', 'bewild', 'comeyforprison', 'comey', 'comeymemo', 'trump']",Conservative
"['reason', 'conserv', 'pleas', 'secretari', 'state', 'mike', 'pompeo', 'militari', 'strength', 'american', 'leadership', 'revit', 'pompeo', 'among', 'best', 'trump', 'team']",Conservative
"['call', 'night', 'earli', 'morn', 'tomorrow', 'offlin', 'next', 'week', 'go', 'play', 'grandkid', 'nation', 'anthem', 'fade', 'black', 'dutyhonorcountri', 'trumparmi', 'codeofvet', 'nra', 'katesteinl', 'magaveteran', 'trump']",Conservative
"['hope', 'creat', 'lot', 'job', 'open', 'pa', 'dora', 'box', 'obamag', 'treason', 'wethepeopl', 'unitedwestand', 'constitutionovercoronaviru', 'trump']",Conservative
"['confus', 'make', 'smile', 'need', 'trump']",Conservative
"['comprehens', 'list', 'presid', 'trump', 'accomplish', 'halsey', 'news', 'network']",Conservative
